analysis_id,scope,batch_id,evidence_id,corpus,text,source_file,doc_id,chunk_id,country,heading_context,native_topic,topic_code,topic_space,causal_hint
global__batch_01,global,1,clean_sentence_003187,policy,Examples of use in schools: - -Assisting students in drafting writing or brainstorming ideas.,markdown/cleaned/policy/usa/ai-guidance.md,policy_ai_guidance,policy_ai_guidance_chunk_0007,usa,AGENTIC AI,0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_008630,policy,"Empowering Educators to Drive Action Panorama AI caters to diverse learning styles, abilities, and cultures to ensure accessibility for all.",markdown/cleaned/policy/usa/Four States Guiding Principles for AI in Education (2).md,policy_four_states_guiding_principles_for_ai_in_education_2,policy_four_states_guiding_principles_for_ai_in_education_2_chunk_0010,usa,Focus On Student Impact,6.0,P6,policy,True
global__batch_01,global,1,clean_sentence_014772,policy,"According to the Public Policy Institute of California, ' in 2023, families at the top of the income distribution -the 90th percentile -earned 11 times more than families at the 10th percentile ($336,000 vs.","markdown/cleaned/policy/usa/The New AI Powered Classroom  Implications  for Students, Teachers, and Equity.md",policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity_chunk_0014,usa,Research Question,8.0,P8,policy,False
global__batch_01,global,1,clean_sentence_016185,sentiment,This invariably raises existential questions concerning the intrinsic worth of human endeavour in a rapidly mechanising landscape.,markdown/cleaned/sentiment/3RemittancesReview-Volume8-Issue4Saajdmalakand.md,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0023,other,4.2 Qualitative Analysis under the themes of Fear,6.0,S6,sentiment,True
global__batch_01,global,1,clean_sentence_018665,sentiment,"However, the study is not without limitations, including its small sample size and the lack of qualitative insights and social media analysis, necessitating further research for a more comprehensive understanding.",markdown/cleaned/sentiment/Irfan_2023_Sentiments.md,sentiment_original_irfan_2023_sentiments,sentiment_original_irfan_2023_sentiments_chunk_0001,other,Abstract,,nan,nan,True
global__batch_01,global,1,clean_sentence_017777,sentiment,"The Impact of Artificial Intelligence on Learning, Teaching, and Education European Union: JRC.",markdown/cleaned/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0025,other,References,,nan,nan,False
global__batch_01,global,1,clean_sentence_014409,policy,Extent and acceptable use of AI by students The following must be satisfied for AI to be used by students: - Students must not use AI to generate responses to assessment tasks as this is considered plagiarism which is a breach of the Assessment Policy.,"markdown/cleaned/policy/australia/POLICY TITLE: Artificial Intelligence (AI) Usage Policy for Staff, Teachers and Students.md",policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students,policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students_chunk_0006,australia,Extent and acceptable use of AI by students,0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_002302,policy,Devices like Raspberry Pi are used by some curricula that require students to create programs and test them using low-cost devices..,markdown/cleaned/policy/AI competency framework  for students.md,policy_ai_competency_framework_for_students,policy_ai_competency_framework_for_students_chunk_0106,other,Box 5: Typical enabling learning environment set up by governments' AI curricula,3.0,P3,policy,True
global__batch_01,global,1,clean_sentence_009457,policy,"Investigation Schools should enact a process to ensure a consistent, fair and transparent response to claims of inappropriate use of generative AI tools in assessments.",markdown/cleaned/policy/australia/generative-artificial-intelligence-guidelines.md,policy_generative_artificial_intelligence_guidelines,policy_generative_artificial_intelligence_guidelines_chunk_0015,australia,4.2. Guidelines for using artificial intelligence in SACE assessments,7.0,P7,policy,True
global__batch_01,global,1,clean_sentence_018865,sentiment,"Recommendations include the implementation of targeted job retraining programmes in regions Remittances Review June, 2023 Volume: 8, No: 4, pp.",markdown/cleaned/sentiment/Irfan_2023_Sentiments.md,sentiment_original_irfan_2023_sentiments,sentiment_original_irfan_2023_sentiments_chunk_0028,other,Conclusion,,nan,nan,False
global__batch_01,global,1,clean_sentence_014574,policy,"The 2024 Framework Review found that the Framework not only correctly identified and made provision for existing challenges but also effectively predicted emerging and current risks, such as the increased use of AI deep fakes, highlighting its relevance and foresight in addressing contemporary challenges.",markdown/cleaned/policy/australia/Review of the Australian Framework for GenAI in Schools.md,policy_review_of_the_australian_framework_for_genai_in_schools,policy_review_of_the_australian_framework_for_genai_in_schools_chunk_0001,australia,2024 Review of the Australian Framework for Generative Artificial Intelligence in Schools,5.0,P5,policy,True
global__batch_01,global,1,clean_sentence_015326,sentiment,"Generative AI in brief which have received both praise and criticism, has increased significantly in 2023.",markdown/cleaned/sentiment/051024_Insights into AI and the youth sector.md,sentiment_original_051024_insights_into_ai_and_the_youth_sector,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0011,other,b. Generative AI in brief,3.0,S3,sentiment,True
global__batch_01,global,1,clean_sentence_017486,sentiment,"To achieve this, there is a need for a collaborative, youth-centred and transparent approach to AI education in the sector.",markdown/cleaned/sentiment/AI_views of youth workers.md,sentiment_original_ai_views_of_youth_workers,sentiment_original_ai_views_of_youth_workers_chunk_0028,other,4. Conclusion and future considerations,4.0,S4,sentiment,True
global__batch_01,global,1,clean_sentence_006935,policy,"Another aspect of prioritising learning is to consider designing work for students that AI cannot complete and encouraging higher-order thinking, creativity, and critical thinking.",markdown/cleaned/policy/australia/AI systems in teaching and learning_ Principles and practical exa.md,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa_chunk_0012,australia,1. Promote teaching and learning,7.0,P7,policy,True
global__batch_01,global,1,clean_sentence_018631,sentiment,"Utilisation personnelle des outils d'IA dans le cadre de la vie professionnelle ou des études (par genre) Get the data · Created with Datawrapper Utilisation personnelle des outils d'IA dans le cadre de la vie privée (par genre) Get the data · Created with Datawrapper To shed some light on these findings, the authors of the survey mention two recent studies (see below) which indicate that, even when working in the same jobs, men are more likely to turn to artificial intelligence and ChatGPT than women.",markdown/cleaned/sentiment/How do the French relate to artificial intelligence_ - Labo.md,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo_chunk_0002,france,Utilisation personnelle des outils d'IA dans le cadre de la vie privée (par genre),6.0,S6,sentiment,True
global__batch_01,global,1,clean_sentence_019187,sentiment,"For 28% of learner respondents (285 people) it is extremely important that staff involved in teaching, supporting learning, research or assessment have the skills to enable them to use GenAI effectively and responsibly.",markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0016,ireland,GenAI training for staff and learners,2.0,S2,sentiment,True
global__batch_01,global,1,clean_sentence_016180,sentiment,"In summary, the Limerick dataset uncovers a generally heightened sense of public trepidation towards AI, potentially influenced by factors like age, employment sector, and gender.",markdown/cleaned/sentiment/3RemittancesReview-Volume8-Issue4Saajdmalakand.md,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0022,other,Remittances Review,6.0,S6,sentiment,True
global__batch_01,global,1,clean_sentence_017655,sentiment,"Key findings and recommendations emphasise that AI should remain humancentred (although what that means is never elaborated), serving as a tool to enhance rather than replace the teacher's role (which is not what most AIED tools do), while addressing generic AI risks such as algorithmic bias and data privacy, as well as the potential for over-reliance.",markdown/cleaned/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0012,other,Ethics of AI in education,3.0,S3,sentiment,True
global__batch_01,global,1,clean_sentence_000710,policy,"One respondent hopes that generative AI will 'force a redesign of assessment paradigms, force a rethink on the role of memory and test-taking abilities as proxies for intelligence, force a rethink of the role of a teacher in a classroom and force a rethink of the structures that underpin school operations'.",markdown/cleaned/policy/australia/AHISA MEMBER SURVEY REPORT Gen AI in Australian independent schools.md,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools_chunk_0030,australia,"Chart 10. School leaders' main hopes for generative AI gains in schools by order of number of mentions, expressed as a proportion of respondents selecting the item",0.0,P0,policy,False
global__batch_01,global,1,clean_sentence_000437,policy,"The AI landscape for us is complex, with AI both a powerful way to generate misinformation and a powerful tool to interact with information generally.",markdown/cleaned/policy/ireland/2026-01-20_opening-statement-graham-long-chief-executive-et-al-citizens-information-board_en.md,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en_chunk_0003,ireland,Meeting of 20 January 2026,0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_002786,policy,"Supported by appropriate training and guidance, all teachers are expected to be able to: - 1 .",markdown/cleaned/policy/AI competency framework  for teachers.md,policy_ai_competency_framework_for_teachers,policy_ai_competency_framework_for_teachers_chunk_0050,other,3.3.1 Progression level 1: Acquire,3.0,P3,policy,True
global__batch_01,global,1,clean_sentence_000655,policy,"Generating ideas for creative projects was selected by 68%, while offering feedback to improve written text was selected by 58%.",markdown/cleaned/policy/australia/AHISA MEMBER SURVEY REPORT Gen AI in Australian independent schools.md,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools_chunk_0024,australia,"Chart 9. Students' application of generative AI tools by order of number of mentions, expressed as a proportion of respondents selecting the item",0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_018639,sentiment,"Degré de confiance dans l'intelligence artificielle Get the data · Created with Datawrapper Respondents who have already integrated artificial intelligence into their professional lives, studies or daily lives are more confident overall (74%) than those who have not yet used it (26%).",markdown/cleaned/sentiment/How do the French relate to artificial intelligence_ - Labo.md,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo_chunk_0004,france,Degré de confiance dans l'intelligence artificielle,0.0,S0,sentiment,True
global__batch_01,global,1,clean_sentence_000057,policy,"Different forms of AI present different challenges to this, but essentially there are issues concerning how information is generated, and how it is used.",markdown/cleaned/policy/ireland/2025-11-18_opening-statement-dr-deepak-padmanabhan-senior-lecturer-in-computer-science-at-the-school-of-electronics-electrical-engineering-and-computer-science-et-al-queens-university-belfast_en.md,policy_2025_11_18_opening_statement_dr_deepak_padmanabhan_senior_lecturer_in_computer_science_at_the_school_of_electronics_electrical_engineering_and_computer_science_et_al_queens_university_belfast_en,policy_2025_11_18_opening_statement_dr_deepak_padmanabhan_senior_lecturer_in_computer_science_at_the_school_of_electronics_electrical_engineering_and_computer_science_et_al_queens_university_belfast_en_chunk_0002,ireland,AI leading to changing modes of decision-making and accountability,8.0,P8,policy,True
global__batch_01,global,1,clean_sentence_012098,policy,Une autre difficulté émergente est celle de l'existence de doublons.,"markdown/cleaned/policy/france/L’intelligence artificielle dans les  établissements scolaires, sur le plan  administratif et pédagogique.md",policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0109,france,3.1.1. Une gouvernance de l'IA encore trop éparpillée,2.0,P2,policy,False
global__batch_01,global,1,clean_sentence_008500,policy,"They learn about ethical considerations relating to the use of AI, such as job displacement, economic and environmental sustainability, and the need for diverse representation in AI design and development to address issues of bias.",markdown/cleaned/policy/australia/DOAI-24-Educator-Guide.md,policy_doai_24_educator_guide,policy_doai_24_educator_guide_chunk_0003,australia,Years 7 and 8,3.0,P3,policy,True
global__batch_01,global,1,clean_sentence_019206,sentiment,14% of staff and 18% of learners are unsure.,markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0018,ireland,GenAI and assessment,2.0,S2,sentiment,False
global__batch_01,global,1,clean_sentence_017892,sentiment,"State of knowledge of digital mediation facilities Whatever the difficulty encountered, whether digital and/or administrative, a majority of French people ( 52%) say they know of at least one digital mediation point .",markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo_chunk_0010,france,State of knowledge of digital mediation facilities,7.0,S7,sentiment,True
global__batch_01,global,1,clean_sentence_011227,policy,"Quelles potentialités, quels risques et limites dans l'usage de l'IA ?",markdown/cleaned/policy/france/l-ia-en-ducation---cadre-d-usage.md,policy_l_ia_en_ducation_cadre_d_usage,policy_l_ia_en_ducation_cadre_d_usage_chunk_0001,france,SOMMAIRE,2.0,P2,policy,True
global__batch_01,global,1,clean_sentence_005293,policy,"Retention periods will be kept to an absolute minimum, with data deleted once it has served its purpose and is no longer required.",markdown/cleaned/policy/usa/AI-Policy-April-2025-v2.md,policy_ai_policy_april_2025_v2,policy_ai_policy_april_2025_v2_chunk_0020,usa,Compliance with Privacy Regulations,6.0,P6,policy,True
global__batch_01,global,1,clean_sentence_005462,policy,"Writing Student Reports: Teaching Staff can use AI to assist in writing Student reports, ensuring accuracy and efficiency while maintaining their professional judgment.",markdown/cleaned/policy/ireland/AI+Policy+June+2025.md,policy_ai_policy_june_2025,policy_ai_policy_june_2025_chunk_0011,ireland,14. Use of AI by Teaching Staff,7.0,P7,policy,True
global__batch_01,global,1,clean_sentence_019412,sentiment,Risk of pupil over-reliance on AI tools 2.,markdown/cleaned/sentiment/Survey on artificial intelligence for teaching and learning – Results _ European School Education Platform.md,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform_chunk_0011,other,A. Very concerned / B. Partially concerned / C. Not at all / D. No opinion,3.0,S3,sentiment,True
global__batch_01,global,1,clean_sentence_013217,policy,Consent Statement Please indicate whether or not you consent to your child's use of AI-supported educational tools.,markdown/cleaned/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx_chunk_0007,usa,,1.0,P1,policy,True
global__batch_01,global,1,clean_sentence_010299,policy,"Attention Span off so that he could genuinely figure out what he wanted to say about this poet he was writing about, and I encourage my students to do the same.",markdown/cleaned/policy/usa/GuideToAIInSchools.md,policy_guidetoaiinschools,policy_guidetoaiinschools_chunk_0020,usa,Attention Span,0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_018922,sentiment,Un paradoxe révélateur : optimisme individuel vs inquiétude collective,"markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group_chunk_0002,france,2) Une utilité perçue très forte qui encourage l'utilisation de ces outils,8.0,S8,sentiment,True
global__batch_01,global,1,clean_sentence_017180,sentiment,"AI is a threat to the essence of education 'AI's application in education, in the form our Department of Education intends it to be used, should be resisted until we are satisfied that we can control these inherent risks' Alan Curran Wed Mar 18 2026 -06:01 · 7 MIN READ Much of the talk around AI in schools has centred on student use and the ways in which this might undermine the integrity of State exams.",markdown/cleaned/sentiment/AI is a threat to the essence of education – The Irish Times.md,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times_chunk_0001,ireland,Alan Curran,1.0,S1,sentiment,True
global__batch_01,global,1,clean_sentence_016719,sentiment,"Because I'm on the iPad, or the computer, 90% of the time when it comes to schoolwork.",markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,sentiment_original_ai4t_wp3_d3_3_nr_ireland,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0055,ireland,5.3 Teachers' knowledge of AI,5.0,S5,sentiment,True
global__batch_01,global,1,clean_sentence_018815,sentiment,"Key points to take away include the stark contrast between the average optimism score of 2.67 and the much higher average fear score of 4.5, as well as the influence of age and type of employment on these scores.",markdown/cleaned/sentiment/Irfan_2023_Sentiments.md,sentiment_original_irfan_2023_sentiments,sentiment_original_irfan_2023_sentiments_chunk_0022,other,Remittances Review,,nan,nan,True
global__batch_02,global,2,clean_sentence_019440,sentiment,What types of support would be most helpful to prepare teachers for effective and ethical use of AI?,markdown/cleaned/sentiment/Survey on artificial intelligence for teaching and learning – Results _ European School Education Platform.md,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform_chunk_0015,other,7. What types of support would be most helpful to prepare teachers for effective and ethical use of AI?,5.0,S5,sentiment,True
global__batch_02,global,2,clean_sentence_017869,sentiment,"Impact on digital mediators In order to meet the growing demand for support in digital administrative relations, often characterized by the social urgency of applicants, digital mediators are sometimes obliged to provide administrative support, the nature and volume of which vary according to the audience and location.",markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo_chunk_0006,france,Impact on digital mediators,6.0,S6,sentiment,True
global__batch_02,global,2,clean_sentence_007926,policy,The Department supports those schools with the highest concentrations of learners at risk of educational disadvantage through the Delivering Equality of Opportunity in Schools (DEIS) programme and these schools receive an enhanced allocation under the ICT grant.,markdown/cleaned/policy/ireland/digital-strategy-for-schools-to-2027.md,policy_digital_strategy_for_schools_to_2027,policy_digital_strategy_for_schools_to_2027_chunk_0038,ireland,1.6. Inclusion,5.0,P5,policy,True
global__batch_02,global,2,clean_sentence_008469,policy,enabling access to TPL online courses.,markdown/cleaned/policy/ireland/digital-strategy-implementation-plan.md,policy_digital_strategy_implementation_plan,policy_digital_strategy_implementation_plan_chunk_0007,ireland,Pillar 1 Actions,5.0,P5,policy,True
global__batch_02,global,2,clean_sentence_016087,sentiment,"Moreover, AI has the potential to contribute to sustainable development goals.",markdown/cleaned/sentiment/3RemittancesReview-Volume8-Issue4Saajdmalakand.md,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0008,other,The Impact of AI,6.0,S6,sentiment,True
global__batch_02,global,2,clean_sentence_018863,sentiment,"These divergences underscore the multifaceted nature of AI discourse, encompassing concerns about job displacement, privacy infringements, loss of control, societal repercussions, and ethical quandaries, juxtaposed with hopes for medical progress, enhanced efficiency, increased accessibility, improved quality of life, and educational innovation.",markdown/cleaned/sentiment/Irfan_2023_Sentiments.md,sentiment_original_irfan_2023_sentiments,sentiment_original_irfan_2023_sentiments_chunk_0027,other,Discussion,,nan,nan,True
global__batch_02,global,2,clean_sentence_017844,sentiment,"French digital society: digital mediation professionals face the challenge of digital remoteness LASOCIETENUMERIQUE FRANCAISE LESPROFESSIONNELS DELA MEDIATIONNUMERIQUEAUDEFI DEL'ELOIGNEMENTNUMERIQUE In 2021, the Digital Society Program of the French National Agency for Territorial Cohesion (ANCT), has launched a consultation for the production of a series of studies on the state of the art of the French digital society.",markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo_chunk_0001,france,LASOCIETENUMERIQUE FRANCAISE,8.0,S8,sentiment,False
global__batch_02,global,2,clean_sentence_008499,policy,Responsible use and application of AI Students consider their needs and those of others when acquiring data for purposes such as data associated with machine learning algorithms used in training applications for AI systems.,markdown/cleaned/policy/australia/DOAI-24-Educator-Guide.md,policy_doai_24_educator_guide,policy_doai_24_educator_guide_chunk_0003,australia,Years 7 and 8,3.0,P3,policy,True
global__batch_02,global,2,clean_sentence_015183,policy,These agents rely on generative AI systems to serve as their brains to coordinate tasks and make inferences.,markdown/cleaned/policy/ireland/Using_Generative_AI.md,policy_using_generative_ai,policy_using_generative_ai_chunk_0002,ireland,The emerging Generative AI landscape,6.0,P6,policy,True
global__batch_02,global,2,clean_sentence_017227,sentiment,"Ultimately, we need to ask ourselves: do we want to move towards a school system where students produce AI-generated assessments and are then handed back AI-generated grades and comments in a bizarre feedback loop where humans sit on the margins of education?",markdown/cleaned/sentiment/AI is a threat to the essence of education – The Irish Times.md,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times_chunk_0005,ireland,Schools across Ireland are now looking at bringing in policies related to the acceptable use of AI. Will these policies include sections on teachers' use?,1.0,S1,sentiment,True
global__batch_02,global,2,clean_sentence_004183,policy,"This is where Australia might look to develop a mandated EU-style approach for important items, cognisant of a global market, maturing AI capabilities and the development of new measures for ethical and bias based appraisals.",markdown/cleaned/policy/australia/ai-in-australian-education-snapshot-principles-policy-and-practice_august-2023.md,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023_chunk_0009,australia,1. Executive summary,6.0,P6,policy,False
global__batch_02,global,2,clean_sentence_005246,policy,All staff must be made aware of both the benefits and limitations of AI to ensure it is used safely and effectively.,markdown/cleaned/policy/usa/AI-Policy-April-2025-v2.md,policy_ai_policy_april_2025_v2,policy_ai_policy_april_2025_v2_chunk_0014,usa,Responsible Use by Pupils,0.0,P0,policy,True
global__batch_02,global,2,clean_sentence_008623,policy,"AI tools can provide recommendations or enhance decision-making, but staff and students will serve as 'critical consumers' of AI and lead any organizational and academic decisions and changes.",markdown/cleaned/policy/usa/Four States Guiding Principles for AI in Education (2).md,policy_four_states_guiding_principles_for_ai_in_education_2,policy_four_states_guiding_principles_for_ai_in_education_2_chunk_0009,usa,"[Guidance, Considerations, &amp; Intentions for the Use of Artificial Intelligence in West Virginia Schools](https://wvde.us/wp-content/uploads/2023/12/29354-AI-Guidance-v1.pdf)",7.0,P7,policy,True
global__batch_02,global,2,clean_sentence_000357,policy,"It could also help with geographically accessible maps for wheelchair users, reduced costs for voluntary organisations, more accessibility in menus, nutrition information and price comparisons.",markdown/cleaned/policy/ireland/2025-12-16_first-interim-report_en.md,policy_2025_12_16_first_interim_report_en,policy_2025_12_16_first_interim_report_en_chunk_0038,ireland,Disability,8.0,P8,policy,True
