analysis_id,probe_of_analysis_id,scope,batch_id,evidence_id,corpus,text,source_file,doc_id,chunk_id,country,heading_context,native_topic,topic_code,topic_space,causal_hint
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021519,sentiment,"For example, AI-powered tools can be used to analyse student artwork and provide suggestions for improvement, allowing students to refine their skills and develop their own unique style.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ay.md,sentiment_synthetic_sentiment_public_sentiment_ay,sentiment_synthetic_sentiment_public_sentiment_ay_chunk_0002,synthetic_probe,Public views on AI tools and learning,1.0,S1,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021025,sentiment,"For me, the important point is that in addition, some of the teachers spoke at length about Microsoft Teams and were very positive about the ability it gives them to monitor student progress through the analytics function, and how they used the software to provide individualised work to students.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_am.md,sentiment_synthetic_sentiment_public_sentiment_am,sentiment_synthetic_sentiment_public_sentiment_am_chunk_0001,synthetic_probe,Public sentiment on AI in education,5.0,S5,sentiment,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021285,sentiment,"Parents and teachers need to know that the data collected for the study suggests that, shortly after the mainstreaming of GenAI tools, students in post-primary schools were already actively using GenAI systems for different purposes, often more intensively than their teachers.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_as.md,sentiment_synthetic_sentiment_public_sentiment_as,sentiment_synthetic_sentiment_public_sentiment_as_chunk_0004,synthetic_probe,"Public sentiment on privacy, assessment and AI",3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020105,sentiment,"This dual framework provides a balanced and nuanced schema for understanding the heterogeneity and complexity of public sentiments, thereby contributing to a more informed landscape for policy and technological decision-making.",markdown/synthetic/sentiment/mds/sentiment_press_release_ap.md,sentiment_synthetic_sentiment_press_release_ap,sentiment_synthetic_sentiment_press_release_ap_chunk_0004,synthetic_probe,Press release on public confidence and AI in learning,6.0,S6,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_000057,policy,"Different forms of AI present different challenges to this, but essentially there are issues concerning how information is generated, and how it is used.",markdown/cleaned/policy/ireland/2025-11-18_opening-statement-dr-deepak-padmanabhan-senior-lecturer-in-computer-science-at-the-school-of-electronics-electrical-engineering-and-computer-science-et-al-queens-university-belfast_en.md,policy_2025_11_18_opening_statement_dr_deepak_padmanabhan_senior_lecturer_in_computer_science_at_the_school_of_electronics_electrical_engineering_and_computer_science_et_al_queens_university_belfast_en,policy_2025_11_18_opening_statement_dr_deepak_padmanabhan_senior_lecturer_in_computer_science_at_the_school_of_electronics_electrical_engineering_and_computer_science_et_al_queens_university_belfast_en_chunk_0002,ireland,AI leading to changing modes of decision-making and accountability,8.0,P8,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021136,sentiment,I would support this when youths aged to .,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ao.md,sentiment_synthetic_sentiment_public_sentiment_ao,sentiment_synthetic_sentiment_public_sentiment_ao_chunk_0004,synthetic_probe,"Public sentiment on privacy, assessment and AI",2.0,S2,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020884,sentiment,This seems useful if the report highlights the need for comprehensive policies and guidelines on GenAI use in education.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ai.md,sentiment_synthetic_sentiment_public_sentiment_ai,sentiment_synthetic_sentiment_public_sentiment_ai_chunk_0003,synthetic_probe,Public views on AI literacy and digital education,3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_011227,policy,"Quelles potentialités, quels risques et limites dans l'usage de l'IA ?",markdown/cleaned/policy/france/l-ia-en-ducation---cadre-d-usage.md,policy_l_ia_en_ducation_cadre_d_usage,policy_l_ia_en_ducation_cadre_d_usage_chunk_0001,france,SOMMAIRE,2.0,P2,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020012,sentiment,"Public confidence depends on privacy and data protection, public policy and classroom practice.",markdown/synthetic/sentiment/mds/sentiment_press_release_an.md,sentiment_synthetic_sentiment_press_release_an,sentiment_synthetic_sentiment_press_release_an_chunk_0003,synthetic_probe,Press release on public confidence and AI in learning,3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_013217,policy,Consent Statement Please indicate whether or not you consent to your child's use of AI-supported educational tools.,markdown/cleaned/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx_chunk_0007,usa,,1.0,P1,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_008500,policy,"They learn about ethical considerations relating to the use of AI, such as job displacement, economic and environmental sustainability, and the need for diverse representation in AI design and development to address issues of bias.",markdown/cleaned/policy/australia/DOAI-24-Educator-Guide.md,policy_doai_24_educator_guide,policy_doai_24_educator_guide_chunk_0003,australia,Years 7 and 8,3.0,P3,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021449,sentiment,This study revealed that there is a need for a more unified and accessible definition of AI that is specifically contextualised for the youth sector's needs.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_aw.md,sentiment_synthetic_sentiment_public_sentiment_aw,sentiment_synthetic_sentiment_public_sentiment_aw_chunk_0003,synthetic_probe,Public views on AI literacy and digital education,,nan,nan,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020433,sentiment,"Public confidence depends on student support, assessment and academic integrity and AI tools.",markdown/synthetic/sentiment/mds/sentiment_press_release_ax.md,sentiment_synthetic_sentiment_press_release_ax,sentiment_synthetic_sentiment_press_release_ax_chunk_0003,synthetic_probe,Press release on digital education and responsible AI,4.0,S4,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_019993,sentiment,Empowering Learners for the Age of AI.,markdown/synthetic/sentiment/mds/sentiment_press_release_an.md,sentiment_synthetic_sentiment_press_release_an,sentiment_synthetic_sentiment_press_release_an_chunk_0001,synthetic_probe,Press release on public confidence and AI in learning,3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_010299,policy,"Attention Span off so that he could genuinely figure out what he wanted to say about this poet he was writing about, and I encourage my students to do the same.",markdown/cleaned/policy/usa/GuideToAIInSchools.md,policy_guidetoaiinschools,policy_guidetoaiinschools_chunk_0020,usa,Attention Span,0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_014574,policy,"The 2024 Framework Review found that the Framework not only correctly identified and made provision for existing challenges but also effectively predicted emerging and current risks, such as the increased use of AI deep fakes, highlighting its relevance and foresight in addressing contemporary challenges.",markdown/cleaned/policy/australia/Review of the Australian Framework for GenAI in Schools.md,policy_review_of_the_australian_framework_for_genai_in_schools,policy_review_of_the_australian_framework_for_genai_in_schools_chunk_0001,australia,2024 Review of the Australian Framework for Generative Artificial Intelligence in Schools,5.0,P5,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021374,sentiment,All data was anonymized during the analysis phase to ensure the privacy and confidentiality of the respondents.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_au.md,sentiment_synthetic_sentiment_public_sentiment_au,sentiment_synthetic_sentiment_public_sentiment_au_chunk_0004,synthetic_probe,Public views on AI tools and learning,7.0,S7,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021252,sentiment,The Digital Services Act (DSA) requires digital platforms to prioritise children's safety and privacy and protect them from illegal content.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_as.md,sentiment_synthetic_sentiment_public_sentiment_as,sentiment_synthetic_sentiment_public_sentiment_as_chunk_0001,synthetic_probe,"Public sentiment on privacy, assessment and AI",3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020102,sentiment,The analytical framework for examining public sentiment is intentionally bifurcated into narratives of hope and fear.,markdown/synthetic/sentiment/mds/sentiment_press_release_ap.md,sentiment_synthetic_sentiment_press_release_ap,sentiment_synthetic_sentiment_press_release_ap_chunk_0004,synthetic_probe,Press release on public confidence and AI in learning,6.0,S6,sentiment,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_019633,sentiment,Using existing databased approaches to youth project design might mean more effective targeting of young people at risk or identifying specific concerns.,markdown/synthetic/sentiment/mds/sentiment_press_release_ad.md,sentiment_synthetic_sentiment_press_release_ad,sentiment_synthetic_sentiment_press_release_ad_chunk_0004,synthetic_probe,"Press release on AI tools, schools and public confidence",6.0,S6,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_005462,policy,"Writing Student Reports: Teaching Staff can use AI to assist in writing Student reports, ensuring accuracy and efficiency while maintaining their professional judgment.",markdown/cleaned/policy/ireland/AI+Policy+June+2025.md,policy_ai_policy_june_2025,policy_ai_policy_june_2025_chunk_0011,ireland,14. Use of AI by Teaching Staff,7.0,P7,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_007407,policy,"1.5 Learning design: work designed for students, including assessments, clearly outlines how generative AI tools should or should not be used and allows for a clear and unbiased evaluation of student ability.",markdown/cleaned/policy/australia/Australian Framework for Generative AI in Schools.md,policy_australian_framework_for_generative_ai_in_schools,policy_australian_framework_for_generative_ai_in_schools_chunk_0008,australia,Guiding Statements,7.0,P7,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_014409,policy,Extent and acceptable use of AI by students The following must be satisfied for AI to be used by students: - Students must not use AI to generate responses to assessment tasks as this is considered plagiarism which is a breach of the Assessment Policy.,"markdown/cleaned/policy/australia/POLICY TITLE: Artificial Intelligence (AI) Usage Policy for Staff, Teachers and Students.md",policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students,policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students_chunk_0006,australia,Extent and acceptable use of AI by students,0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_000710,policy,"One respondent hopes that generative AI will 'force a redesign of assessment paradigms, force a rethink on the role of memory and test-taking abilities as proxies for intelligence, force a rethink of the role of a teacher in a classroom and force a rethink of the structures that underpin school operations'.",markdown/cleaned/policy/australia/AHISA MEMBER SURVEY REPORT Gen AI in Australian independent schools.md,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools_chunk_0030,australia,"Chart 10. School leaders' main hopes for generative AI gains in schools by order of number of mentions, expressed as a proportion of respondents selecting the item",0.0,P0,policy,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021129,sentiment,"I think this matters because the first set of data was collected at the symposium Navigating Transitions: adapting policy to young people's changing realities , organised the partnership between the European Commission and the Council of Europe in the field of youth on - June in Tirana, Albania.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ao.md,sentiment_synthetic_sentiment_public_sentiment_ao,sentiment_synthetic_sentiment_public_sentiment_ao_chunk_0003,synthetic_probe,"Public sentiment on privacy, assessment and AI",4.0,S4,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020831,sentiment,"It sets uniform rules to create a single market for trustworthy AI applications that fully respect fundamental rights, including children's rights.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ah.md,sentiment_synthetic_sentiment_public_sentiment_ah,sentiment_synthetic_sentiment_public_sentiment_ah_chunk_0002,synthetic_probe,Public views on AI literacy and digital education,0.0,S0,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_020639,sentiment,I am cautious because genAI can be seen as an enabler.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ad.md,sentiment_synthetic_sentiment_public_sentiment_ad,sentiment_synthetic_sentiment_public_sentiment_ad_chunk_0001,synthetic_probe,"Public sentiment on privacy, assessment and AI",6.0,S6,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_005201,policy,"All pupils learn differently, with different baselines, strengths and interests.",markdown/cleaned/policy/usa/AI-Policy-April-2025-v2.md,policy_ai_policy_april_2025_v2,policy_ai_policy_april_2025_v2_chunk_0008,usa,Personalised education and enhanced teaching through adaptive learning and assessment.,0.0,P0,policy,False
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_020749,sentiment,"In STEM subjects, GenAI can transform the learning landscape by engaging students in real-world problem-solving tasks, such as generating data sets for analysis or simulating scientific experiments.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_af.md,sentiment_synthetic_sentiment_public_sentiment_af,sentiment_synthetic_sentiment_public_sentiment_af_chunk_0004,synthetic_probe,"Public sentiment on privacy, assessment and AI",7.0,S7,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_021409,sentiment,"They preferred to use Chat GPT than traditional search engines because it's 'sleek, calm' and in their opinion, uses a wider range of reliable sources.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_av.md,sentiment_synthetic_sentiment_public_sentiment_av,sentiment_synthetic_sentiment_public_sentiment_av_chunk_0004,synthetic_probe,Public views on AI literacy and digital education,5.0,S5,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_020814,sentiment,I would support this when the interviews focused on the teachers' experience of the professional learning activities and AI tools.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ah.md,sentiment_synthetic_sentiment_public_sentiment_ah,sentiment_synthetic_sentiment_public_sentiment_ah_chunk_0001,synthetic_probe,Public views on AI literacy and digital education,0.0,S0,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_000416,policy,Our Board is committed to preserving that human connection while embracing new and improved technologies.,markdown/cleaned/policy/ireland/2026-01-20_opening-statement-graham-long-chief-executive-et-al-citizens-information-board_en.md,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en_chunk_0001,ireland,Meeting of 20 January 2026,8.0,P8,policy,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_019638,sentiment,"Chi-Squared test results for age-specific perceptions manifested that respondent in the age bracket of - are comparatively more fearful and less optimistic about AI, a phenomenon that could be underpinned by apprehensions surrounding job security.",markdown/synthetic/sentiment/mds/sentiment_press_release_ad.md,sentiment_synthetic_sentiment_press_release_ad,sentiment_synthetic_sentiment_press_release_ad_chunk_0004,synthetic_probe,"Press release on AI tools, schools and public confidence",6.0,S6,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_008469,policy,enabling access to TPL online courses.,markdown/cleaned/policy/ireland/digital-strategy-implementation-plan.md,policy_digital_strategy_implementation_plan,policy_digital_strategy_implementation_plan_chunk_0007,ireland,Pillar 1 Actions,5.0,P5,policy,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_020508,sentiment,"For me, the important point is that aI as a challenge for youth and fundamental rights - research published in recent years showcases an increasing number of situations in which AI technologies have led to social harms, especially by perpetrating historic biases, amplifying polarisation and accumulated disadvantages.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_aa.md,sentiment_synthetic_sentiment_public_sentiment_aa,sentiment_synthetic_sentiment_public_sentiment_aa_chunk_0001,synthetic_probe,Public views on AI literacy and digital education,4.0,S4,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_019757,sentiment,Teachers called for adaptive teaching strategies and assessment methods that emphasised project-based and realtime evaluations.,markdown/synthetic/sentiment/mds/sentiment_press_release_ag.md,sentiment_synthetic_sentiment_press_release_ag,sentiment_synthetic_sentiment_press_release_ag_chunk_0004,synthetic_probe,"Press release on AI tools, schools and public confidence",3.0,S3,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_021227,sentiment,"And the teachers, because I think it's inevitable that.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ar.md,sentiment_synthetic_sentiment_public_sentiment_ar,sentiment_synthetic_sentiment_public_sentiment_ar_chunk_0002,synthetic_probe,Public views on AI literacy and digital education,5.0,S5,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_007696,policy,Consider processes to allow for the regular evaluation and revision of guidance/policy related to genAI.,markdown/cleaned/policy/usa/Developing Policy and Protocols for the use of Generative AI in K-12 Classrooms_March 2025.md,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025_chunk_0022,usa,Recommended tasks:,7.0,P7,policy,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_021380,sentiment,"I would support this when the term 'artificial intelligence' was coined in and has ever since been used in different ways, with no universally accepted definition from a technical or legal perspective.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_av.md,sentiment_synthetic_sentiment_public_sentiment_av,sentiment_synthetic_sentiment_public_sentiment_av_chunk_0001,synthetic_probe,Public views on AI literacy and digital education,6.0,S6,sentiment,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_005246,policy,All staff must be made aware of both the benefits and limitations of AI to ensure it is used safely and effectively.,markdown/cleaned/policy/usa/AI-Policy-April-2025-v2.md,policy_ai_policy_april_2025_v2,policy_ai_policy_april_2025_v2_chunk_0014,usa,Responsible Use by Pupils,0.0,P0,policy,True
global__batch_02__synthetic_probe,global__batch_02,global,2,clean_sentence_019878,sentiment,The current situation might require a redefinition of the role national youth institutions could have in these processes.,markdown/synthetic/sentiment/mds/sentiment_press_release_ak.md,sentiment_synthetic_sentiment_press_release_ak,sentiment_synthetic_sentiment_press_release_ak_chunk_0002,synthetic_probe,"Press release on AI literacy, privacy and trust",0.0,S0,sentiment,True
