analysis_id,cluster_id,finding_id,classification,relation_family,evidence_role,evidence_id,corpus,text,source_file,doc_id,country
france__batch_02,france__batch_02__cluster_02,S4,partial_alignment,risks_or_threatens,policy,clean_sentence_011254,policy,"Par ailleurs, l'utilisation de l'IA pose des questions éthiques, déontologiques et écologiques : biais et risques de reproduction voire d'amplification des stéréotypes et discriminations, risques d'inexactitudes voire de réponses fausses ( hallucinations ), risques de divulgation de données personnelles ou sensibles, risque environnemental d'une technologie fortement consommatrice en ressources matérielles, en eau et en énergie 1 , risque social avec le travail humain nécessaire à l'entraînement des modèles ( travailleurs du clic ), risques liés à l'utilisation de données protégées pour l'entraînement des modèles (propriété intellectuelle).",markdown/cleaned/policy/france/l-ia-en-ducation---cadre-d-usage.md,policy_l_ia_en_ducation_cadre_d_usage,france
france__batch_02,france__batch_02__cluster_02,S4,partial_alignment,risks_or_threatens,sentiment,clean_sentence_018929,sentiment,"Parmi les freins à la formation, les 'risques éthiques liés à l'IA' arrivent en tête des citations chez ceux qui ne souhaitent pas se former (43%).","markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,france
france__batch_02,france__batch_02__cluster_03,S3,partial_alignment,enables_or_supports,policy,clean_sentence_012375,policy,"Le rôle de l'École, en relation avec l es collectivités, est de soutenir les familles pour améliorer l'équité d'accès et d'acculturation technologique.",markdown/cleaned/policy/france/L’intelligence artificielle en éducation  - Cadre d’usage et de confiance.md,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,france
france__batch_02,france__batch_02__cluster_03,S3,partial_alignment,enables_or_supports,policy,clean_sentence_012701,policy,Prepare the next generation of workers by equipping them with the most pertinent values and skills needed for living and working in the age of AI.,markdown/cleaned/policy/france/MEN_DNE_brochure_IA_2024_UK_web.md,policy_men_dne_brochure_ia_2024_uk_web,france
france__batch_02,france__batch_02__cluster_03,S3,partial_alignment,enables_or_supports,sentiment,clean_sentence_015925,sentiment,"Ces chiffres dessinent une attente claire : les citoyens français ne réclament pas une sensibilisation, mais une véritable formation développant la capacité de comprendre l'IA, de situer son fonctionnement, ses effets et ses limites.",markdown/cleaned/sentiment/20251119-Les-Francais-lIA.md,sentiment_original_20251119_les_francais_lia,france
france__batch_02,france__batch_02__cluster_06,S2,partial_alignment,enables_or_supports,policy,clean_sentence_012375,policy,"Le rôle de l'École, en relation avec l es collectivités, est de soutenir les familles pour améliorer l'équité d'accès et d'acculturation technologique.",markdown/cleaned/policy/france/L’intelligence artificielle en éducation  - Cadre d’usage et de confiance.md,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,france
france__batch_02,france__batch_02__cluster_06,S2,partial_alignment,enables_or_supports,sentiment,clean_sentence_017896,sentiment,"Living in a commune where there is a digital mediation center boosts awareness of the various places where digital help can be obtained , and encourages people to perceive personal assistance in a dedicated place as a solution when digital difficulties arise.",markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,france
france__batch_02,france__batch_02__cluster_07,S3,partial_alignment,requires_or_depends_on,policy,clean_sentence_012074,policy,"La prise en compte d'un seul de ces deux aspects risquerait, dans le cas de la seule formation scientifique, d'être très éloigné de la réalité des pratiques, et dans le cas de la seule littératie, de ne pas permettre de donner les clés indispensables aux citoyens pour comprendre les évolutions futures.","markdown/cleaned/policy/france/L’intelligence artificielle dans les  établissements scolaires, sur le plan  administratif et pédagogique.md",policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france
france__batch_02,france__batch_02__cluster_07,S3,partial_alignment,requires_or_depends_on,sentiment,clean_sentence_017904,sentiment,"In particular, we need to meet the initial and lifelong training needs of these professionals, based on multi-disciplinary training that will enable them to carry out a wide and varied range of tasks.",markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,france
france__batch_03,france__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,policy,clean_sentence_005125,policy,"Après la formation, les enseignants de mathématiques déclarant un fort sentiment d'auto-efficacité ont un usage plus élevé des plateformes Kwyk et Vittasciences que les enseignants n'ayant pas suivi la formation.",markdown/cleaned/policy/france/AI Policy and  Regulations of France:  Comprehensive Report_FR.md,policy_ai_policy_and_regulations_of_france_comprehensive_report_fr,france
france__batch_03,france__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_018915,sentiment,"Une utilité perçue très forte qui encourage l'utilisation de ces outils Autre signe de cette percée de l'IA chez les jeunes : 92 % des utilisateurs affirment que ces outils leur sont utiles au quotidien, et près de la moitié (43 %) les jugent même 'très utiles', cette perception étant renforcée chez les habitants d'agglomération parisienne (54%) par rapport aux habitants de commune urbaines de province ou rurales.","markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,france
france__batch_03,france__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_018917,sentiment,"Surtout, l'intensité d'usage et la perception d'utilité se renforcent mutuellement : plus on l'utilise souvent, plus on juge l'IA très utile : 79% des jeunes utilisant l'IA quotidiennement estiment cette technologie très utile dans leur quotidien, contre une moyenne de 38%.","markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,france
france__batch_03,france__batch_03__cluster_02,S1,partial_alignment,risks_or_threatens,policy,clean_sentence_011429,policy,"Les réponses révèlent une crainte que l'IA remplace certain es fonctions pédagogiques essentielles, un risque perçu de creuser les écarts entre élèves (fractures entre les élèves, fractures entre les territoires) et des réserves sur l'efficacité de l'IA pour aider à évaluer les élèves.","markdown/cleaned/policy/france/L’intelligence artificielle dans les  établissements scolaires, sur le plan  administratif et pédagogique.md",policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france
france__batch_03,france__batch_03__cluster_02,S1,partial_alignment,risks_or_threatens,sentiment,clean_sentence_018925,sentiment,"Ce décalage illustre un réflexe de survie professionnelle : les jeunes anticipent que l'IA va transformer, voire menacer, l'emploi en général, mais estiment qu'individuellement, leur meilleure stratégie est de se positionner du côté des concepteurs plutôt que des impactés.","markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,france
france__batch_03,france__batch_03__cluster_03,S1,partial_alignment,enables_or_supports,policy,clean_sentence_005125,policy,"Après la formation, les enseignants de mathématiques déclarant un fort sentiment d'auto-efficacité ont un usage plus élevé des plateformes Kwyk et Vittasciences que les enseignants n'ayant pas suivi la formation.",markdown/cleaned/policy/france/AI Policy and  Regulations of France:  Comprehensive Report_FR.md,policy_ai_policy_and_regulations_of_france_comprehensive_report_fr,france
france__batch_03,france__batch_03__cluster_03,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_018632,sentiment,""" According to these studies, women's lack of self-confidence could be partly responsible for this situation: women who don't use artificial intelligence more often than men indicate their need for training to use this new technology .",markdown/cleaned/sentiment/How do the French relate to artificial intelligence_ - Labo.md,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo,france
ireland__batch_01,ireland__batch_01__cluster_02,S3,sentiment_gap,risks_or_threatens,policy,clean_sentence_007878,policy,"Essential to this aim is that they learn to do so in a critical manner, aware of both the opportunities and risks and that they have the relevant knowledge, skills and a tti tudes to live, work, learn and thrive.",markdown/cleaned/policy/ireland/digital-strategy-for-schools-to-2027.md,policy_digital_strategy_for_schools_to_2027,ireland
ireland__batch_01,ireland__batch_01__cluster_02,S3,sentiment_gap,risks_or_threatens,sentiment,clean_sentence_017250,sentiment,"An overreliance on artificial intelligence, the report states, risks 'turning students into passive consumers and teachers into supervisors'.",markdown/cleaned/sentiment/AI is a threat to the essence of education – The Irish Times.md,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times,ireland
ireland__batch_01,ireland__batch_01__cluster_03,S2,sentiment_gap,risks_or_threatens,policy,clean_sentence_009711,policy,The instruction makes clear that any material generated by AI so ft ware will be treated in the same way as any other material that the candidate has not generated themselves.,markdown/cleaned/policy/ireland/Guidance_on_Artificial_Intelligence_in_Schools_2025.md,policy_guidance_on_artificial_intelligence_in_schools_2025,ireland
ireland__batch_01,ireland__batch_01__cluster_03,S2,sentiment_gap,risks_or_threatens,sentiment,clean_sentence_017246,sentiment,"The use of AI in our education system among students has the potential to undermine the credibility of our examination system, a system that, for all its flaws, is as objective and fair as any that has ever been designed.",markdown/cleaned/sentiment/AI is a threat to the essence of education – The Irish Times.md,sentiment_original_ai_is_a_threat_to_the_essence_of_education_the_irish_times,ireland
ireland__batch_02,ireland__batch_02__cluster_03,S1,partial_alignment,enables_or_supports,policy,clean_sentence_015235,policy,The paper stated that generative AI allows for a potential decrease in workload thereby allowing more time for teachers.,markdown/cleaned/policy/ireland/Using_Generative_AI.md,policy_using_generative_ai,ireland
ireland__batch_02,ireland__batch_02__cluster_03,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_016764,sentiment,"However, there was an increase in the belief that the use of AI would enable teachers to have more time to focus on student learning.",markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland
ireland__batch_03,ireland__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,policy,clean_sentence_007943,policy,"When teachers engage in continuous professional growth, classroom practice evolves and improves.",markdown/cleaned/policy/ireland/digital-strategy-for-schools-to-2027.md,policy_digital_strategy_for_schools_to_2027,ireland
ireland__batch_03,ireland__batch_03__cluster_01,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_016936,sentiment,"7.1 On professional learning about AI Although teachers stated that they intend to use AI tools in their classroom practice, their responses illustrate clearly that we need to consider more carefully the design of future learning activities connected to teachers' everyday classroom activities to enable them to understand the main ideas of AI (i.e., that AI is a software that learns, that it adjusts, and that it processes data) and to be able to define clearly what it is and to point to examples in classroom practice.",markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland
