source_topic_space,source_topic,source_topic_code,mean_coverage_deficit,low_coverage_share,claims,direction,iteration
policy,3,P3,0.3052614,0.028037383177570093,107,policy_to_sentiment,2
policy,4,P4,0.37735137,0.041666666666666664,48,policy_to_sentiment,2
policy,5,P5,0.37278894,0.11392405063291139,79,policy_to_sentiment,2
policy,6,P6,0.36216035,0.09701492537313433,134,policy_to_sentiment,2
policy,7,P7,0.33865532,0.0761904761904762,105,policy_to_sentiment,2
policy,8,P8,0.40915924,0.29069767441860467,86,policy_to_sentiment,2
sentiment,0,S0,0.3834363,0.17391304347826086,69,sentiment_to_policy,2
sentiment,1,S1,0.35620517,0.07246376811594203,138,sentiment_to_policy,2
sentiment,2,S2,0.413378,0.061224489795918366,49,sentiment_to_policy,2
sentiment,3,S3,0.34185755,0.07272727272727272,220,sentiment_to_policy,2
sentiment,4,S4,0.3595279,0.057692307692307696,104,sentiment_to_policy,2
sentiment,5,S5,0.36476028,0.13580246913580246,81,sentiment_to_policy,2
sentiment,6,S6,0.40032274,0.1956521739130435,46,sentiment_to_policy,2
sentiment,7,S7,0.43644857,0.3076923076923077,39,sentiment_to_policy,2
sentiment,8,S8,0.40975383,0.06666666666666667,15,sentiment_to_policy,2
policy,0,P0,0.36978716,0.125,128,policy_to_sentiment,3
policy,1,P1,0.36421272,0.13953488372093023,43,policy_to_sentiment,3
policy,2,P2,0.33288887,0.029411764705882353,34,policy_to_sentiment,3
policy,3,P3,0.30417246,0.010309278350515464,97,policy_to_sentiment,3
policy,4,P4,0.36757642,0.08333333333333333,36,policy_to_sentiment,3
policy,5,P5,0.37056696,0.10227272727272728,88,policy_to_sentiment,3
policy,6,P6,0.35961723,0.0738255033557047,149,policy_to_sentiment,3
policy,7,P7,0.33092406,0.06422018348623854,109,policy_to_sentiment,3
policy,8,P8,0.40048784,0.22077922077922077,77,policy_to_sentiment,3
sentiment,0,S0,0.38414493,0.18840579710144928,69,sentiment_to_policy,3
sentiment,1,S1,0.3628759,0.08695652173913043,138,sentiment_to_policy,3
sentiment,2,S2,0.41241917,0.08163265306122448,49,sentiment_to_policy,3
sentiment,3,S3,0.3396821,0.07727272727272727,220,sentiment_to_policy,3
sentiment,4,S4,0.36042455,0.057692307692307696,104,sentiment_to_policy,3
sentiment,5,S5,0.36623153,0.09876543209876543,81,sentiment_to_policy,3
sentiment,6,S6,0.399669,0.1956521739130435,46,sentiment_to_policy,3
sentiment,7,S7,0.43009123,0.3333333333333333,39,sentiment_to_policy,3
sentiment,8,S8,0.39289764,0.06666666666666667,15,sentiment_to_policy,3
policy,0,P0,0.37943923,0.11504424778761062,113,policy_to_sentiment,4
policy,1,P1,0.33943185,0.12307692307692308,65,policy_to_sentiment,4
policy,2,P2,0.3385166,0.029411764705882353,34,policy_to_sentiment,4
policy,3,P3,0.30718854,0.027777777777777776,108,policy_to_sentiment,4
policy,4,P4,0.3614986,0.06521739130434782,46,policy_to_sentiment,4
policy,5,P5,0.35204682,0.07058823529411765,85,policy_to_sentiment,4
policy,6,P6,0.36098436,0.11188811188811189,143,policy_to_sentiment,4
policy,7,P7,0.33687276,0.0967741935483871,93,policy_to_sentiment,4
policy,8,P8,0.40164724,0.20270270270270271,74,policy_to_sentiment,4
sentiment,0,S0,0.37894276,0.17391304347826086,69,sentiment_to_policy,4
sentiment,1,S1,0.3572724,0.08695652173913043,138,sentiment_to_policy,4
sentiment,2,S2,0.41854435,0.08163265306122448,49,sentiment_to_policy,4
sentiment,3,S3,0.34004846,0.07272727272727272,220,sentiment_to_policy,4
sentiment,4,S4,0.3564552,0.0673076923076923,104,sentiment_to_policy,4
sentiment,5,S5,0.3631783,0.1111111111111111,81,sentiment_to_policy,4
sentiment,6,S6,0.40432304,0.1956521739130435,46,sentiment_to_policy,4
sentiment,7,S7,0.43622977,0.38461538461538464,39,sentiment_to_policy,4
sentiment,8,S8,0.40589997,0.13333333333333333,15,sentiment_to_policy,4
policy,0,P0,0.3876308,0.14655172413793102,116,policy_to_sentiment,5
policy,1,P1,0.37111852,0.14285714285714285,56,policy_to_sentiment,5
policy,2,P2,0.33139858,0.02631578947368421,38,policy_to_sentiment,5
policy,3,P3,0.29768932,0.022222222222222223,90,policy_to_sentiment,5
policy,4,P4,0.38586274,0.1,30,policy_to_sentiment,5
policy,5,P5,0.3754324,0.11363636363636363,88,policy_to_sentiment,5
policy,6,P6,0.3695745,0.10869565217391304,138,policy_to_sentiment,5
policy,7,P7,0.33061028,0.07258064516129033,124,policy_to_sentiment,5
policy,8,P8,0.40660444,0.2345679012345679,81,policy_to_sentiment,5
sentiment,0,S0,0.38005242,0.2028985507246377,69,sentiment_to_policy,5
sentiment,1,S1,0.3628023,0.08695652173913043,138,sentiment_to_policy,5
sentiment,2,S2,0.4156554,0.08163265306122448,49,sentiment_to_policy,5
sentiment,3,S3,0.33914572,0.06818181818181818,220,sentiment_to_policy,5
sentiment,4,S4,0.35872152,0.0673076923076923,104,sentiment_to_policy,5
sentiment,5,S5,0.36738086,0.12345679012345678,81,sentiment_to_policy,5
sentiment,6,S6,0.40102893,0.21739130434782608,46,sentiment_to_policy,5
sentiment,7,S7,0.4375509,0.3333333333333333,39,sentiment_to_policy,5
sentiment,8,S8,0.3983797,0.06666666666666667,15,sentiment_to_policy,5
policy,0,P0,0.39414933,0.16346153846153846,104,policy_to_sentiment,6
policy,1,P1,0.37927282,0.15254237288135594,59,policy_to_sentiment,6
policy,2,P2,0.34884748,0.05263157894736842,38,policy_to_sentiment,6
policy,3,P3,0.30872828,0.019230769230769232,104,policy_to_sentiment,6
policy,4,P4,0.3581236,0.07692307692307693,39,policy_to_sentiment,6
policy,5,P5,0.36750856,0.06666666666666667,90,policy_to_sentiment,6
policy,6,P6,0.34477916,0.08280254777070063,157,policy_to_sentiment,6
policy,7,P7,0.3364373,0.06862745098039216,102,policy_to_sentiment,6
policy,8,P8,0.40540206,0.22058823529411764,68,policy_to_sentiment,6
sentiment,0,S0,0.38228914,0.13043478260869565,69,sentiment_to_policy,6
sentiment,1,S1,0.36352733,0.09420289855072464,138,sentiment_to_policy,6
sentiment,2,S2,0.41605696,0.08163265306122448,49,sentiment_to_policy,6
sentiment,3,S3,0.3403536,0.07727272727272727,220,sentiment_to_policy,6
sentiment,4,S4,0.35327843,0.038461538461538464,104,sentiment_to_policy,6
sentiment,5,S5,0.36848617,0.12345679012345678,81,sentiment_to_policy,6
sentiment,6,S6,0.40945372,0.21739130434782608,46,sentiment_to_policy,6
sentiment,7,S7,0.4430187,0.38461538461538464,39,sentiment_to_policy,6
sentiment,8,S8,0.39127052,0.06666666666666667,15,sentiment_to_policy,6
policy,0,P0,0.37747365,0.13761467889908258,109,policy_to_sentiment,7
policy,1,P1,0.36405072,0.16363636363636364,55,policy_to_sentiment,7
policy,2,P2,0.3411244,0.02702702702702703,37,policy_to_sentiment,7
policy,3,P3,0.30926988,0.02127659574468085,94,policy_to_sentiment,7
policy,4,P4,0.38736868,0.11428571428571428,35,policy_to_sentiment,7
policy,5,P5,0.36039025,0.09803921568627451,102,policy_to_sentiment,7
policy,6,P6,0.36695352,0.1223021582733813,139,policy_to_sentiment,7
policy,7,P7,0.3331036,0.11320754716981132,106,policy_to_sentiment,7
policy,8,P8,0.4010516,0.20238095238095238,84,policy_to_sentiment,7
sentiment,0,S0,0.38034633,0.18840579710144928,69,sentiment_to_policy,7
sentiment,1,S1,0.35842082,0.08695652173913043,138,sentiment_to_policy,7
sentiment,2,S2,0.40642056,0.061224489795918366,49,sentiment_to_policy,7
sentiment,3,S3,0.33746395,0.07272727272727272,220,sentiment_to_policy,7
sentiment,4,S4,0.35640776,0.0673076923076923,104,sentiment_to_policy,7
sentiment,5,S5,0.3602895,0.09876543209876543,81,sentiment_to_policy,7
sentiment,6,S6,0.40615717,0.21739130434782608,46,sentiment_to_policy,7
sentiment,7,S7,0.4450105,0.358974358974359,39,sentiment_to_policy,7
sentiment,8,S8,0.39577565,0.06666666666666667,15,sentiment_to_policy,7
policy,0,P0,0.37253904,0.12173913043478261,115,policy_to_sentiment,8
policy,1,P1,0.3651718,0.11320754716981132,53,policy_to_sentiment,8
policy,2,P2,0.36995658,0.0975609756097561,41,policy_to_sentiment,8
policy,3,P3,0.30229437,0.02857142857142857,105,policy_to_sentiment,8
policy,4,P4,0.38745967,0.13157894736842105,38,policy_to_sentiment,8
policy,5,P5,0.3636439,0.06862745098039216,102,policy_to_sentiment,8
policy,6,P6,0.3550694,0.10483870967741936,124,policy_to_sentiment,8
policy,7,P7,0.32528102,0.0380952380952381,105,policy_to_sentiment,8
policy,8,P8,0.39525884,0.16666666666666666,78,policy_to_sentiment,8
sentiment,0,S0,0.38283706,0.18840579710144928,69,sentiment_to_policy,8
sentiment,1,S1,0.36226827,0.07971014492753623,138,sentiment_to_policy,8
sentiment,2,S2,0.4235598,0.08163265306122448,49,sentiment_to_policy,8
sentiment,3,S3,0.34044713,0.07727272727272727,220,sentiment_to_policy,8
sentiment,4,S4,0.35582256,0.07692307692307693,104,sentiment_to_policy,8
sentiment,5,S5,0.36462843,0.1111111111111111,81,sentiment_to_policy,8
sentiment,6,S6,0.40572223,0.2391304347826087,46,sentiment_to_policy,8
sentiment,7,S7,0.4282659,0.3333333333333333,39,sentiment_to_policy,8
sentiment,8,S8,0.3979182,0.06666666666666667,15,sentiment_to_policy,8
policy,0,P0,0.37700483,0.12598425196850394,127,policy_to_sentiment,9
policy,1,P1,0.37595648,0.10526315789473684,57,policy_to_sentiment,9
policy,2,P2,0.34341192,0.09090909090909091,44,policy_to_sentiment,9
policy,3,P3,0.30448443,0.01282051282051282,78,policy_to_sentiment,9
policy,4,P4,0.3761889,0.075,40,policy_to_sentiment,9
policy,5,P5,0.3632126,0.10416666666666667,96,policy_to_sentiment,9
policy,6,P6,0.35253856,0.06474820143884892,139,policy_to_sentiment,9
policy,7,P7,0.33431014,0.06862745098039216,102,policy_to_sentiment,9
policy,8,P8,0.38484555,0.21794871794871795,78,policy_to_sentiment,9
sentiment,0,S0,0.38747504,0.2028985507246377,69,sentiment_to_policy,9
sentiment,1,S1,0.3637069,0.10144927536231885,138,sentiment_to_policy,9
sentiment,2,S2,0.41434824,0.08163265306122448,49,sentiment_to_policy,9
sentiment,3,S3,0.3380567,0.07272727272727272,220,sentiment_to_policy,9
sentiment,4,S4,0.36056435,0.0673076923076923,104,sentiment_to_policy,9
sentiment,5,S5,0.36416447,0.13580246913580246,81,sentiment_to_policy,9
sentiment,6,S6,0.40331098,0.21739130434782608,46,sentiment_to_policy,9
sentiment,7,S7,0.44192213,0.38461538461538464,39,sentiment_to_policy,9
sentiment,8,S8,0.3956512,0.06666666666666667,15,sentiment_to_policy,9
policy,0,P0,0.37905192,0.10569105691056911,123,policy_to_sentiment,10
policy,1,P1,0.35361612,0.11666666666666667,60,policy_to_sentiment,10
policy,2,P2,0.37509888,0.08571428571428572,35,policy_to_sentiment,10
policy,3,P3,0.31539685,0.020202020202020204,99,policy_to_sentiment,10
policy,4,P4,0.38075483,0.09090909090909091,44,policy_to_sentiment,10
policy,5,P5,0.3578889,0.0673076923076923,104,policy_to_sentiment,10
policy,6,P6,0.35791734,0.0967741935483871,124,policy_to_sentiment,10
policy,7,P7,0.3366815,0.09090909090909091,99,policy_to_sentiment,10
policy,8,P8,0.40992257,0.2876712328767123,73,policy_to_sentiment,10
sentiment,0,S0,0.38428262,0.15942028985507245,69,sentiment_to_policy,10
sentiment,1,S1,0.35616913,0.08695652173913043,138,sentiment_to_policy,10
sentiment,2,S2,0.39869183,0.04081632653061224,49,sentiment_to_policy,10
sentiment,3,S3,0.33543986,0.08636363636363636,220,sentiment_to_policy,10
sentiment,4,S4,0.35322407,0.038461538461538464,104,sentiment_to_policy,10
sentiment,5,S5,0.36158955,0.13580246913580246,81,sentiment_to_policy,10
sentiment,6,S6,0.39774224,0.2391304347826087,46,sentiment_to_policy,10
sentiment,7,S7,0.43879417,0.358974358974359,39,sentiment_to_policy,10
sentiment,8,S8,0.4019559,0.06666666666666667,15,sentiment_to_policy,10
policy,0,P0,0.37363282,0.12295081967213115,122,policy_to_sentiment,11
policy,1,P1,0.36818534,0.08333333333333333,60,policy_to_sentiment,11
policy,2,P2,0.3437853,0.02857142857142857,35,policy_to_sentiment,11
policy,3,P3,0.30823618,0.02531645569620253,79,policy_to_sentiment,11
policy,4,P4,0.3706906,0.06451612903225806,31,policy_to_sentiment,11
policy,5,P5,0.36074874,0.0891089108910891,101,policy_to_sentiment,11
policy,6,P6,0.3511156,0.09285714285714286,140,policy_to_sentiment,11
policy,7,P7,0.3389699,0.13333333333333333,105,policy_to_sentiment,11
policy,8,P8,0.391024,0.19318181818181818,88,policy_to_sentiment,11
sentiment,0,S0,0.382161,0.15942028985507245,69,sentiment_to_policy,11
sentiment,1,S1,0.35928676,0.06521739130434782,138,sentiment_to_policy,11
sentiment,2,S2,0.4126428,0.08163265306122448,49,sentiment_to_policy,11
sentiment,3,S3,0.33653384,0.07727272727272727,220,sentiment_to_policy,11
sentiment,4,S4,0.35480818,0.057692307692307696,104,sentiment_to_policy,11
sentiment,5,S5,0.36421186,0.09876543209876543,81,sentiment_to_policy,11
sentiment,6,S6,0.40161598,0.17391304347826086,46,sentiment_to_policy,11
sentiment,7,S7,0.4392907,0.358974358974359,39,sentiment_to_policy,11
sentiment,8,S8,0.3964145,0.06666666666666667,15,sentiment_to_policy,11
policy,0,P0,0.38214958,0.18518518518518517,108,policy_to_sentiment,12
policy,1,P1,0.37235656,0.1346153846153846,52,policy_to_sentiment,12
policy,2,P2,0.33552608,0.02631578947368421,38,policy_to_sentiment,12
policy,3,P3,0.30326834,0.0,101,policy_to_sentiment,12
policy,4,P4,0.35654432,0.045454545454545456,44,policy_to_sentiment,12
policy,5,P5,0.36105645,0.10752688172043011,93,policy_to_sentiment,12
policy,6,P6,0.37006876,0.13636363636363635,132,policy_to_sentiment,12
policy,7,P7,0.32908973,0.08108108108108109,111,policy_to_sentiment,12
policy,8,P8,0.39156774,0.18292682926829268,82,policy_to_sentiment,12
sentiment,0,S0,0.3845446,0.13043478260869565,69,sentiment_to_policy,12
sentiment,1,S1,0.35919693,0.10144927536231885,138,sentiment_to_policy,12
sentiment,2,S2,0.42672038,0.16326530612244897,49,sentiment_to_policy,12
sentiment,3,S3,0.34074363,0.09090909090909091,220,sentiment_to_policy,12
sentiment,4,S4,0.3524507,0.0673076923076923,104,sentiment_to_policy,12
sentiment,5,S5,0.3633781,0.13580246913580246,81,sentiment_to_policy,12
sentiment,6,S6,0.40282345,0.1956521739130435,46,sentiment_to_policy,12
sentiment,7,S7,0.4341887,0.358974358974359,39,sentiment_to_policy,12
sentiment,8,S8,0.40574244,0.13333333333333333,15,sentiment_to_policy,12
policy,0,P0,0.37957337,0.1111111111111111,117,policy_to_sentiment,13
policy,1,P1,0.37507963,0.19672131147540983,61,policy_to_sentiment,13
policy,2,P2,0.32478955,0.022727272727272728,44,policy_to_sentiment,13
policy,3,P3,0.3093007,0.0425531914893617,94,policy_to_sentiment,13
policy,4,P4,0.35084447,0.0,38,policy_to_sentiment,13
policy,5,P5,0.3725755,0.11904761904761904,84,policy_to_sentiment,13
policy,6,P6,0.36850882,0.11023622047244094,127,policy_to_sentiment,13
policy,7,P7,0.3372478,0.07368421052631578,95,policy_to_sentiment,13
policy,8,P8,0.39483246,0.2079207920792079,101,policy_to_sentiment,13
sentiment,0,S0,0.3856462,0.17391304347826086,69,sentiment_to_policy,13
sentiment,1,S1,0.35830954,0.07971014492753623,138,sentiment_to_policy,13
sentiment,2,S2,0.4172132,0.08163265306122448,49,sentiment_to_policy,13
sentiment,3,S3,0.3377762,0.06818181818181818,220,sentiment_to_policy,13
sentiment,4,S4,0.35935706,0.057692307692307696,104,sentiment_to_policy,13
sentiment,5,S5,0.3657293,0.08641975308641975,81,sentiment_to_policy,13
sentiment,6,S6,0.4041958,0.2391304347826087,46,sentiment_to_policy,13
sentiment,7,S7,0.43547478,0.28205128205128205,39,sentiment_to_policy,13
sentiment,8,S8,0.3930473,0.13333333333333333,15,sentiment_to_policy,13
policy,0,P0,0.36799726,0.09649122807017543,114,policy_to_sentiment,14
policy,1,P1,0.36747918,0.1276595744680851,47,policy_to_sentiment,14
policy,2,P2,0.35902897,0.10416666666666667,48,policy_to_sentiment,14
policy,3,P3,0.30328095,0.010101010101010102,99,policy_to_sentiment,14
policy,4,P4,0.37074193,0.11904761904761904,42,policy_to_sentiment,14
policy,5,P5,0.3466546,0.06315789473684211,95,policy_to_sentiment,14
policy,6,P6,0.3636983,0.10687022900763359,131,policy_to_sentiment,14
policy,7,P7,0.3447241,0.07407407407407407,108,policy_to_sentiment,14
policy,8,P8,0.39465418,0.19480519480519481,77,policy_to_sentiment,14
sentiment,0,S0,0.38844815,0.18840579710144928,69,sentiment_to_policy,14
sentiment,1,S1,0.3603231,0.06521739130434782,138,sentiment_to_policy,14
sentiment,2,S2,0.43484572,0.20408163265306123,49,sentiment_to_policy,14
sentiment,3,S3,0.34217918,0.07272727272727272,220,sentiment_to_policy,14
sentiment,4,S4,0.3586955,0.057692307692307696,104,sentiment_to_policy,14
sentiment,5,S5,0.3621581,0.08641975308641975,81,sentiment_to_policy,14
sentiment,6,S6,0.40140504,0.21739130434782608,46,sentiment_to_policy,14
sentiment,7,S7,0.4363823,0.3333333333333333,39,sentiment_to_policy,14
sentiment,8,S8,0.39856118,0.0,15,sentiment_to_policy,14
policy,0,P0,0.37135553,0.10434782608695652,115,policy_to_sentiment,15
policy,1,P1,0.37073928,0.14893617021276595,47,policy_to_sentiment,15
policy,2,P2,0.34260532,0.03571428571428571,28,policy_to_sentiment,15
policy,3,P3,0.30960512,0.011363636363636364,88,policy_to_sentiment,15
policy,4,P4,0.37245885,0.10256410256410256,39,policy_to_sentiment,15
policy,5,P5,0.3608034,0.09009009009009009,111,policy_to_sentiment,15
policy,6,P6,0.37945634,0.17391304347826086,138,policy_to_sentiment,15
policy,7,P7,0.33299163,0.0975609756097561,123,policy_to_sentiment,15
policy,8,P8,0.38056728,0.1527777777777778,72,policy_to_sentiment,15
sentiment,0,S0,0.38166022,0.17391304347826086,69,sentiment_to_policy,15
sentiment,1,S1,0.3602208,0.08695652173913043,138,sentiment_to_policy,15
sentiment,2,S2,0.430336,0.12244897959183673,49,sentiment_to_policy,15
sentiment,3,S3,0.33819494,0.06363636363636363,220,sentiment_to_policy,15
sentiment,4,S4,0.3592044,0.08653846153846154,104,sentiment_to_policy,15
sentiment,5,S5,0.3630412,0.12345679012345678,81,sentiment_to_policy,15
sentiment,6,S6,0.40281293,0.2391304347826087,46,sentiment_to_policy,15
sentiment,7,S7,0.4405787,0.38461538461538464,39,sentiment_to_policy,15
sentiment,8,S8,0.3972953,0.06666666666666667,15,sentiment_to_policy,15
policy,0,P0,0.3792646,0.18604651162790697,129,policy_to_sentiment,16
policy,1,P1,0.35939854,0.15217391304347827,46,policy_to_sentiment,16
policy,2,P2,0.3569104,0.05,40,policy_to_sentiment,16
policy,3,P3,0.31756467,0.05263157894736842,95,policy_to_sentiment,16
policy,4,P4,0.36823693,0.10869565217391304,46,policy_to_sentiment,16
policy,5,P5,0.3634692,0.08333333333333333,84,policy_to_sentiment,16
policy,6,P6,0.37001932,0.14285714285714285,126,policy_to_sentiment,16
policy,7,P7,0.3386913,0.09090909090909091,110,policy_to_sentiment,16
policy,8,P8,0.38904122,0.18823529411764706,85,policy_to_sentiment,16
sentiment,0,S0,0.38078785,0.15942028985507245,69,sentiment_to_policy,16
sentiment,1,S1,0.35617706,0.08695652173913043,138,sentiment_to_policy,16
sentiment,2,S2,0.40679297,0.061224489795918366,49,sentiment_to_policy,16
sentiment,3,S3,0.33529133,0.07272727272727272,220,sentiment_to_policy,16
sentiment,4,S4,0.35661218,0.057692307692307696,104,sentiment_to_policy,16
sentiment,5,S5,0.36255038,0.13580246913580246,81,sentiment_to_policy,16
sentiment,6,S6,0.40361238,0.2608695652173913,46,sentiment_to_policy,16
sentiment,7,S7,0.43600723,0.358974358974359,39,sentiment_to_policy,16
sentiment,8,S8,0.40424016,0.06666666666666667,15,sentiment_to_policy,16
policy,0,P0,0.39140838,0.19696969696969696,132,policy_to_sentiment,17
policy,1,P1,0.38526946,0.1836734693877551,49,policy_to_sentiment,17
policy,2,P2,0.35154605,0.08823529411764706,34,policy_to_sentiment,17
policy,3,P3,0.30624527,0.02040816326530612,98,policy_to_sentiment,17
policy,4,P4,0.36665893,0.07317073170731707,41,policy_to_sentiment,17
policy,5,P5,0.36392906,0.06666666666666667,90,policy_to_sentiment,17
policy,6,P6,0.3601011,0.1,120,policy_to_sentiment,17
policy,7,P7,0.34291467,0.12612612612612611,111,policy_to_sentiment,17
policy,8,P8,0.39354813,0.26744186046511625,86,policy_to_sentiment,17
sentiment,0,S0,0.38875073,0.2318840579710145,69,sentiment_to_policy,17
sentiment,1,S1,0.36684895,0.10144927536231885,138,sentiment_to_policy,17
sentiment,2,S2,0.4222974,0.10204081632653061,49,sentiment_to_policy,17
sentiment,3,S3,0.345565,0.08181818181818182,220,sentiment_to_policy,17
sentiment,4,S4,0.35703805,0.07692307692307693,104,sentiment_to_policy,17
sentiment,5,S5,0.36561197,0.08641975308641975,81,sentiment_to_policy,17
sentiment,6,S6,0.40468293,0.2391304347826087,46,sentiment_to_policy,17
sentiment,7,S7,0.44027552,0.38461538461538464,39,sentiment_to_policy,17
sentiment,8,S8,0.393374,0.06666666666666667,15,sentiment_to_policy,17
policy,0,P0,0.37426996,0.14035087719298245,114,policy_to_sentiment,18
policy,1,P1,0.37918437,0.22727272727272727,44,policy_to_sentiment,18
policy,2,P2,0.34763417,0.041666666666666664,48,policy_to_sentiment,18
policy,3,P3,0.3088361,0.027777777777777776,72,policy_to_sentiment,18
policy,4,P4,0.37539977,0.04878048780487805,41,policy_to_sentiment,18
policy,5,P5,0.37423754,0.1262135922330097,103,policy_to_sentiment,18
policy,6,P6,0.36502856,0.12582781456953643,151,policy_to_sentiment,18
policy,7,P7,0.34755036,0.12,100,policy_to_sentiment,18
policy,8,P8,0.39696667,0.2159090909090909,88,policy_to_sentiment,18
sentiment,0,S0,0.38225055,0.15942028985507245,69,sentiment_to_policy,18
sentiment,1,S1,0.3582582,0.10144927536231885,138,sentiment_to_policy,18
sentiment,2,S2,0.4115,0.061224489795918366,49,sentiment_to_policy,18
sentiment,3,S3,0.34120238,0.08181818181818182,220,sentiment_to_policy,18
sentiment,4,S4,0.35527346,0.04807692307692308,104,sentiment_to_policy,18
sentiment,5,S5,0.3632051,0.12345679012345678,81,sentiment_to_policy,18
sentiment,6,S6,0.4022063,0.2608695652173913,46,sentiment_to_policy,18
sentiment,7,S7,0.44492945,0.38461538461538464,39,sentiment_to_policy,18
sentiment,8,S8,0.4099907,0.0,15,sentiment_to_policy,18
policy,0,P0,0.39238068,0.18269230769230768,104,policy_to_sentiment,19
policy,1,P1,0.36472017,0.0847457627118644,59,policy_to_sentiment,19
policy,2,P2,0.34053597,0.08888888888888889,45,policy_to_sentiment,19
policy,3,P3,0.3049272,0.010416666666666666,96,policy_to_sentiment,19
policy,4,P4,0.3804446,0.046511627906976744,43,policy_to_sentiment,19
policy,5,P5,0.36224145,0.07142857142857142,84,policy_to_sentiment,19
policy,6,P6,0.3597844,0.07913669064748201,139,policy_to_sentiment,19
policy,7,P7,0.33575454,0.08737864077669903,103,policy_to_sentiment,19
policy,8,P8,0.3916668,0.19318181818181818,88,policy_to_sentiment,19
sentiment,0,S0,0.38155854,0.18840579710144928,69,sentiment_to_policy,19
sentiment,1,S1,0.37041518,0.09420289855072464,138,sentiment_to_policy,19
sentiment,2,S2,0.43293205,0.12244897959183673,49,sentiment_to_policy,19
sentiment,3,S3,0.34406,0.07727272727272727,220,sentiment_to_policy,19
sentiment,4,S4,0.3553932,0.057692307692307696,104,sentiment_to_policy,19
sentiment,5,S5,0.36679998,0.1111111111111111,81,sentiment_to_policy,19
sentiment,6,S6,0.4029631,0.2391304347826087,46,sentiment_to_policy,19
sentiment,7,S7,0.43413872,0.358974358974359,39,sentiment_to_policy,19
sentiment,8,S8,0.39873776,0.13333333333333333,15,sentiment_to_policy,19
policy,0,P0,0.37752953,0.14678899082568808,109,policy_to_sentiment,20
policy,1,P1,0.35684884,0.11320754716981132,53,policy_to_sentiment,20
policy,2,P2,0.34809086,0.125,40,policy_to_sentiment,20
policy,3,P3,0.29650906,0.00909090909090909,110,policy_to_sentiment,20
policy,4,P4,0.39433292,0.13513513513513514,37,policy_to_sentiment,20
policy,5,P5,0.37050238,0.1368421052631579,95,policy_to_sentiment,20
policy,6,P6,0.3646647,0.10236220472440945,127,policy_to_sentiment,20
policy,7,P7,0.33925432,0.06422018348623854,109,policy_to_sentiment,20
