direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method,within_topic_rank
policy_to_sentiment,policy_claim_03626,policy_oco_ai_policy_spotlight_report_chunk_0095,policy_oco_ai_policy_spotlight_report,ireland,policy,5,P5,enables_or_supports,No reference is made to skills needed to ensure a human rights based approach.,No reference is made to skills needed to ensure a human rights based approach.,sentiment_claim_00519,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0038,sentiment,1,S1,"is not actually helping them at all in terms of their skills and abilities.' (School director in Luxembourg, translation) 25 Research participants highlighted the urgent need for the development of AI literacy among students.","is not actually helping them at all in terms of their skills and abilities.' (School director in Luxembourg, translation) 25 Research participants highlighted the urgent need for the development of AI literacy among students.",0.3929688334465027,0.3788512647151947,0.6211487352848053,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_01131,policy_ai_guidance_chunk_0090,policy_ai_guidance,usa,policy,7,P7,requires_or_depends_on,"Include contract language requiring compliance with FERPA, 603 CMR 23.00, and all applicable data protection laws.","Include contract language requiring compliance with FERPA, 603 CMR 23.00, and all applicable data protection laws.",sentiment_claim_00126,sentiment_original_20251119_les_francais_lia_chunk_0016,sentiment,8,S8,"Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.","Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.",0.40640789270401,0.3797636032104492,0.6202363967895508,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00220,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0051,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,5,S5,reduces_or_prevents,"I don't think there's anything that would prevent us, no.'","I don't think there's anything that would prevent us, no.'",policy_claim_00191,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools_chunk_0033,policy,7,P7,We cannot be in a situation where different schools make different decisions.' - 'We do not need political leaders to make this area top heavy with burdensome regulation.,We cannot be in a situation where different schools make different decisions.' - 'We do not need political leaders to make this area top heavy with burdensome regulation.,0.44286489486694336,0.38146665692329407,0.6185333430767059,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_03585,policy_oco_ai_policy_spotlight_report_chunk_0073,policy_oco_ai_policy_spotlight_report,ireland,policy,1,P1,requires_or_depends_on,VLOPs and VLOSEs that use recommender systems are also required to provide users with at least one option for users on the platform/search engine that is not based on profiling.,VLOPs and VLOSEs that use recommender systems are also required to provide users with at least one option for users on the platform/search engine that is not based on profiling.,sentiment_claim_00668,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0005,sentiment,0,S0,"They preferred to use Chat GPT than traditional search engines because it's 'sleek, calm' and in their opinion, uses a wider range of reliable sources.","They preferred to use Chat GPT than traditional search engines because it's 'sleek, calm' and in their opinion, uses a wider range of reliable sources.",0.3864094614982605,0.38251304626464844,0.6174869537353516,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_01015,policy_ai_guidance_chunk_0025,policy_ai_guidance,usa,policy,7,P7,causes_or_increases,FocUs AReA: cRoss-FUnctIonAl leAdeRsHIP And collABoRAtIon Creating leadership structures that support coherence and shared responsibility.,FocUs AReA: cRoss-FUnctIonAl leAdeRsHIP And collABoRAtIon Creating leadership structures that support coherence and shared responsibility.,sentiment_claim_00593,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0065,sentiment,1,S1,"For instance, it may support but also hinder collaboration dynamics.","For instance, it may support but also hinder collaboration dynamics.",0.3972756564617157,0.38504758477211,0.61495241522789,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_01004,policy_ai_guidance_chunk_0017,policy_ai_guidance,usa,policy,7,P7,enables_or_supports,Plan next steps: Use the column to the right of the Steps Already Taken to list additional steps to help sketch your Plan to Move Forward.,Plan next steps: Use the column to the right of the Steps Already Taken to list additional steps to help sketch your Plan to Move Forward.,sentiment_claim_00568,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0056,sentiment,1,S1,"Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.","Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.",0.40356624126434326,0.3858673572540283,0.6141326427459717,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_03344,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance_chunk_0013,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,france,policy,2,P2,requires_or_depends_on,La génération token par token : dépend de la part d'aléatoire définie par l'entreprise.,La génération token par token : dépend de la part d'aléatoire définie par l'entreprise.,sentiment_claim_00304,sentiment_original_ai_views_of_youth_workers_chunk_0002,sentiment,0,S0,"It is certain that algorithms and AI continue to influence young peo ple's everyday decision making and the overall process of digital transformation, thus the role of education is to ensure they are doing so in an informed, critical and conscious way.","It is certain that algorithms and AI continue to influence young peo ple's everyday decision making and the overall process of digital transformation, thus the role of education is to ensure they are doing so in an informed, critical and conscious way.",0.41117197275161743,0.3958410322666168,0.6041589677333832,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00281,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0099,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,7,S7,causes_or_increases,"And for it to be clear, because it wasn't clear.","And for it to be clear, because it wasn't clear.",policy_claim_01322,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023_chunk_0071,policy,6,P6,"There is reasonable clarity about the required action of informed consent, however, it is not clear what 'proactively informed' implies leaving scope interpretation e.g.","There is reasonable clarity about the required action of informed consent, however, it is not clear what 'proactively informed' implies leaving scope interpretation e.g.",0.4511842131614685,0.40075528621673584,0.5992447137832642,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_03205,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0026,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,policy,2,P2,causes_or_increases,"Là encore, le profess eur n'a pas été dupe en raison de la maitrise du français (absence de fautes d'orthographe) et du décalage avec la première partie du devoir.","Là encore, le profess eur n'a pas été dupe en raison de la maitrise du français (absence de fautes d'orthographe) et du décalage avec la première partie du devoir.",sentiment_claim_00583,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0060,sentiment,1,S1,"Not only much better, but also in the process of being competent.' (School leader in Germany, translation) 40 Research participants stressed that it is essential to rethink assessment strategies and avoid relying on formats that are amenable to GenAI-enabled cheating.","Not only much better, but also in the process of being competent.' (School leader in Germany, translation) 40 Research participants stressed that it is essential to rethink assessment strategies and avoid relying on formats that are amenable to GenAI-enabled cheating.",0.42293062806129456,0.40534234046936035,0.5946576595306396,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
sentiment_to_policy,sentiment_claim_00679,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0013,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,other,sentiment,0,S0,causes_or_increases,'Take everything with a pinch of salt because it does depend on how you phrased it and your response to it and everything.','Take everything with a pinch of salt because it does depend on how you phrased it and your response to it and everything.',policy_claim_03068,policy_guidetoaiinschools_chunk_0077,policy,0,P0,I think the very common answer [to prevent unauthorized use] is: 'Make a physical assignment.',I think the very common answer [to prevent unauthorized use] is: 'Make a physical assignment.',0.4364106059074402,0.41601666808128357,0.5839833319187164,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00215,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0048,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,7,S7,enables_or_supports,It really helped to cement that.,It really helped to cement that.,policy_claim_03098,policy_guidetoaiinschools_chunk_0089,policy,0,P0,That's why contributing to this guide was so important to me.,That's why contributing to this guide was so important to me.,0.4369134306907654,0.4222669303417206,0.5777330696582794,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_00534,policy_ai_competency_framework_for_students_chunk_0062,policy_ai_competency_framework_for_students,other,policy,3,P3,enables_or_supports,automatic watering the school garden or helping a hard-of-hearing grandparent to detect alarms).,automatic watering the school garden or helping a hard-of-hearing grandparent to detect alarms).,sentiment_claim_00634,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0079,sentiment,1,S1,"On one hand, this technology may assist teachers in accelerating the creation or adaptation of tasks designed to assess students' achievement of learning outcomes, whether summatively or formatively.","On one hand, this technology may assist teachers in accelerating the creation or adaptation of tasks designed to assess students' achievement of learning outcomes, whether summatively or formatively.",0.4324568808078766,0.4243796765804291,0.5756203234195709,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
