input_file,output_file,raw_chars,cleaned_chars,removed_chars,raw_lines,cleaned_lines
markdown/raw/policy/usa/K-12 Artificial Intelligence (AI) Use Guidelines.md,markdown/cleaned/policy/usa/K-12 Artificial Intelligence (AI) Use Guidelines.md,44860,36040,8820,429,377
markdown/raw/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,markdown/cleaned/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,18717,18678,39,397,398
"markdown/raw/policy/usa/The New AI Powered Classroom  Implications  for Students, Teachers, and Equity.md","markdown/cleaned/policy/usa/The New AI Powered Classroom  Implications  for Students, Teachers, and Equity.md",120301,120064,237,746,709
markdown/raw/policy/usa/ai-guidance.md,markdown/cleaned/policy/usa/ai-guidance.md,160641,160308,333,2109,1920
markdown/raw/policy/usa/ai-guidance_classroom-considerations.md,markdown/cleaned/policy/usa/ai-guidance_classroom-considerations.md,40654,40527,127,429,362
markdown/raw/policy/usa/ai_report_us_gov.md,markdown/cleaned/policy/usa/ai_report_us_gov.md,230661,204979,25682,1398,1303
markdown/raw/policy/usa/policy-brief_2024-ai-in-education_pa.md,markdown/cleaned/policy/usa/policy-brief_2024-ai-in-education_pa.md,9420,9136,284,72,73
markdown/raw/sentiment/051024_Insights into AI and the youth sector.md,markdown/cleaned/sentiment/051024_Insights into AI and the youth sector.md,129435,128139,1296,948,917
markdown/raw/sentiment/20251119-Les-Francais-lIA.md,markdown/cleaned/sentiment/20251119-Les-Francais-lIA.md,29528,28757,771,427,370
markdown/raw/sentiment/3RemittancesReview-Volume8-Issue4Saajdmalakand.md,markdown/cleaned/sentiment/3RemittancesReview-Volume8-Issue4Saajdmalakand.md,57343,56103,1240,405,406
markdown/raw/sentiment/AI is a threat to the essence of education – The Irish Times.md,markdown/cleaned/sentiment/AI is a threat to the essence of education – The Irish Times.md,10722,10716,6,73,68
markdown/raw/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,241758,221644,20114,2355,1928
markdown/raw/sentiment/AI_views of youth workers.md,markdown/cleaned/sentiment/AI_views of youth workers.md,70881,59210,11671,377,343
markdown/raw/sentiment/EPRS_ATA(2025)769494_EN.md,markdown/cleaned/sentiment/EPRS_ATA(2025)769494_EN.md,9617,9507,110,51,48
markdown/raw/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,markdown/cleaned/sentiment/French digital society_ digital mediation professionals face the challenge of digital remoteness - Labo.md,17047,17039,8,109,102
markdown/raw/sentiment/How are teachers in Europe using AI in the classroom and which country uses it the most_ _ Euronews.md,markdown/cleaned/sentiment/How are teachers in Europe using AI in the classroom and which country uses it the most_ _ Euronews.md,11732,11696,36,326,291
markdown/raw/sentiment/How do the French relate to artificial intelligence_ - Labo.md,markdown/cleaned/sentiment/How do the French relate to artificial intelligence_ - Labo.md,6318,6312,6,92,87
markdown/raw/sentiment/Irfan_2023_Sentiments.md,markdown/cleaned/sentiment/Irfan_2023_Sentiments.md,58252,57012,1240,418,419
"markdown/raw/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md","markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",9295,9250,45,203,162
markdown/raw/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,26027,25924,103,743,702
markdown/raw/sentiment/Survey on artificial intelligence for teaching and learning – Results _ European School Education Platform.md,markdown/cleaned/sentiment/Survey on artificial intelligence for teaching and learning – Results _ European School Education Platform.md,19116,19030,86,369,349
markdown/raw/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,markdown/cleaned/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,47796,46848,948,230,227
markdown/raw/sentiment/generative artificial intelligence in secondary education-KJ0125604ENN.md,markdown/cleaned/sentiment/generative artificial intelligence in secondary education-KJ0125604ENN.md,194621,144350,50271,886,816
markdown/raw/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,53563,40738,12825,423,377
