cause_topic,cause_topic_code,relation_type,effect_topic,effect_topic_code,signed_gap,absolute_gap,evidence_rank_score,policy_sources,sentiment_sources,evidence_corpus,frame_id,chunk_id,doc_id,source_file,heading_context,frame_sentence,cause_span,relation_cue,effect_span,frame_quality,cause_assignment_method,effect_assignment_method,analysis_weight
2,P2,requires_or_depends_on,2,P2,0.03034836419345528,0.03034836419345528,0.05437696891920514,4,1,sentiment,sentiment_frame_00334,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0015,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn,markdown/cleaned/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,Example ethical issues emerging during the development of AIED,"Environmental footprint : The environmental cost of training AI models (due to the generation of large amounts of CO 2 ) and running AI systems (which requires massive amounts of electricity and water), all of which conflicts with global citizenship and sustainability goals.","massive amounts of electricity and water), all of which conflicts with global citizenship and sustainability goals.",requires,The environmental cost of training AI models (due to the generation of large amounts of CO 2 ) and running AI systems (which,0.8537608695652175,document_nmf_fallback,document_nmf_fallback,0.002882192598453439
0,P0,expected_to_improve,0,P0,0.021407453352048775,0.021407453352048775,0.05319552318953242,8,3,policy,policy_frame_03162,policy_use_of_generative_ai_in_decyp_schools_policy_chunk_0002,policy_use_of_generative_ai_in_decyp_schools_policy,markdown/cleaned/policy/australia/Use-of-Generative-AI-in-DECYP-Schools-Policy.md,2.1 Scope,"Policy Statement DECYP endorses the use of DECYP-approved Generative AI tools in government schools to enhance teaching, learning and administration providing they are used: - appropriately.",Policy Statement DECYP endorses the use of DECYP-approved Generative AI tools in government schools,to enhance,"teaching, learning and administration providing they are used",0.730142857142857,hybrid_span_projection,hybrid_span_projection,0.3291229039803894
0,P0,expected_to_improve,0,P0,0.021407453352048775,0.021407453352048775,0.05319552318953242,8,3,policy,policy_frame_00155,policy_ai_advisory_council_ai_on_education_paper_chunk_0002,policy_ai_advisory_council_ai_on_education_paper,markdown/cleaned/policy/ireland/ai-advisory-council-ai-on-education-paper.md,Background,"Generative AI has enormous potential to enhance education in several ways including teaching support for example by assisting with creating lesson plans, personalised learning for students by providing customised explanations of complex topics, providing immediate and detailed feedback on student work, accessibility support for those with learning disabilities or different needs, improving writing style and grammar, and more.",Generative AI has enormous potential,to enhance,"education in several ways including teaching support for example by assisting with creating lesson plans, personalised learning for students by providing customised explanations of complex topics, providing immediate and detailed feedback on student work, accessibility support for those with learning disabilities or different needs, improving writing style and grammar, and more.",0.589,hybrid_span_projection,hybrid_span_projection,0.014355914906812792
0,P0,expected_to_improve,0,P0,0.021407453352048775,0.021407453352048775,0.05319552318953242,8,3,sentiment,sentiment_frame_00254,sentiment_original_ai_views_of_youth_workers_chunk_0001,sentiment_original_ai_views_of_youth_workers,markdown/cleaned/sentiment/AI_views of youth workers.md,1. Introduction,"For decades, youth work has aimed to enhance social inclusion, empower young people to become critical thinkers, and pursue authentic and meaningful communication between youth workers and young people.","For decades, youth work has aimed",to enhance,"social inclusion, empower young people to become critical thinkers, and pursue authentic and meaningful communication between youth workers and young people.",0.7301428571428571,document_nmf_fallback,document_nmf_fallback,0.005427214410977823
0,P0,expected_to_improve,0,P0,0.021407453352048775,0.021407453352048775,0.05319552318953242,8,3,sentiment,sentiment_frame_00029,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0018,sentiment_original_051024_insights_into_ai_and_the_youth_sector,markdown/cleaned/sentiment/051024_Insights into AI and the youth sector.md,2. Impact of artificial intelligence on youth rights,"On the one hand it encapsulates a transformative potential through its anticipated capacity to enhance existing processes, on the other hand it can further feed into the structural asymmetries and amplify existing injustices.",On the one hand it encapsulates a transformative potential through its anticipated capacity,to enhance,"existing processes, on the other hand it can further feed into the structural asymmetries and amplify existing injustices.",0.8547564102564101,document_nmf_fallback,document_nmf_fallback,0.002060415389338086
0,P0,causes_or_increases,0,P0,0.014728339654578898,0.014728339654578898,0.051497750970081725,26,6,policy,policy_frame_02221,policy_generative_artificial_intelligence_in_schools_information_for_students_and_parents_chunk_0001,policy_generative_artificial_intelligence_in_schools_information_for_students_and_parents,markdown/cleaned/policy/australia/generative-artificial-intelligence-in-schools-information-for-students-and-parents.md,How can generative AI be used in schools or at home?,"When a prompt is provided, the generative AI tool generates an output, such as a sentence, picture or model aligned to the prompt.","When a prompt is provided, the generative AI tool",generates,"an output, such as a sentence, picture or model aligned to the prompt.",0.7803907203907203,hybrid_span_projection,hybrid_span_projection,0.04919783166143811
0,P0,causes_or_increases,0,P0,0.014728339654578898,0.014728339654578898,0.051497750970081725,26,6,policy,policy_frame_00087,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en_chunk_0003,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en,markdown/cleaned/policy/ireland/2026-01-20_opening-statement-graham-long-chief-executive-et-al-citizens-information-board_en.md,Meeting of 20 January 2026,"The AI landscape for us is complex, with AI both a powerful way to generate misinformation and a powerful tool to interact with information generally.","The AI landscape for us is complex, with AI both a powerful way",to generate,misinformation and a powerful tool to interact with information generally.,0.8230549450549449,document_nmf_fallback,document_nmf_fallback,0.03988607260035434
0,P0,causes_or_increases,0,P0,0.014728339654578898,0.014728339654578898,0.051497750970081725,26,6,sentiment,sentiment_frame_00584,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0011,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,3. RIGHT TO PROTECTION FROM HARM,"'Nowadays AI can generate deepfakes, like fake videos and it could be of you or another person, and of what you're saying as well, and I think that really affects the person emotionally.' 'They can generate harmful content about you, increase cyberbullying and damage a person's personal reputation as well.'","'Nowadays AI can generate deepfakes, like fake videos and it could be of you or another person, and of what you're saying as well, and I think that really affects the person emotionally.' 'They",can generate,"harmful content about you, increase cyberbullying and damage a person's personal reputation as well.'",0.7941960784313725,hybrid_span_projection,document_nmf_fallback,0.021783700995179348
0,P0,causes_or_increases,0,P0,0.014728339654578898,0.014728339654578898,0.051497750970081725,26,6,sentiment,sentiment_frame_00623,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0031,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,Is there anything that education providers can consider stopping doing because of GenAI?,"However, some suggestions of what staff think education providers could consider stopping because of GenAI include stopping awarding marks for written communication and assessing home-written essay assignments.",GenAI include stopping awarding marks for written communication and assessing home-written essay assignments.,because of,"However, some suggestions of what staff think education providers could consider stopping",0.9254945054945055,hybrid_span_projection,hybrid_span_projection,0.005573584156815867
0,P0,enables_or_supports,0,P0,0.014962833908337636,0.014962833908337636,0.05138218018406791,25,5,policy,policy_frame_02039,policy_doai_24_educator_guide_chunk_0007,policy_doai_24_educator_guide,markdown/cleaned/policy/australia/DOAI-24-Educator-Guide.md,PLEASE NOTE:,"We strongly encourage you to pause often during this activity to allow students to ask questions, and give them an opportunity to share their thoughts and feelings around large language models like ChatGPT.",We strongly encourage you to pause often during this activity,to allow,"students to ask questions, and give them an opportunity to share their thoughts and feelings around large language models like ChatGPT.",0.8007142857142856,document_nmf_fallback,hybrid_span_projection,0.036150092563741944
0,P0,enables_or_supports,0,P0,0.014962833908337636,0.014962833908337636,0.05138218018406791,25,5,policy,policy_frame_00154,policy_ai_advisory_council_ai_on_education_paper_chunk_0002,policy_ai_advisory_council_ai_on_education_paper,markdown/cleaned/policy/ireland/ai-advisory-council-ai-on-education-paper.md,Background,"Generative AI has enormous potential to enhance education in several ways including teaching support for example by assisting with creating lesson plans, personalised learning for students by providing customised explanations of complex topics, providing immediate and detailed feedback on student work, accessibility support for those with learning disabilities or different needs, improving writing style and grammar, and more.",Generative AI has enormous potential to enhance education in several ways including teaching support for example by,assisting with,"creating lesson plans, personalised learning for students by providing customised explanations of complex topics, providing immediate and detailed feedback on student work, accessibility support for those with learning disabilities or different needs, improving writing style and grammar, and more.",0.7892307692307692,hybrid_span_projection,hybrid_span_projection,0.029829666718549377
0,P0,enables_or_supports,0,P0,0.014962833908337636,0.014962833908337636,0.05138218018406791,25,5,sentiment,sentiment_frame_00355,sentiment_original_eprs_ata_2025_769494_en_chunk_0002,sentiment_original_eprs_ata_2025_769494_en,markdown/cleaned/sentiment/EPRS_ATA(2025)769494_EN.md,The first generation of digital natives growing up with AI,The most common use is for helping with homework and seeking entertainment.,The most common use is for,helping with,homework and seeking entertainment.,0.5618571428571428,document_nmf_fallback,document_nmf_fallback,0.011525407876263275
0,P0,enables_or_supports,0,P0,0.014962833908337636,0.014962833908337636,0.05138218018406791,25,5,sentiment,sentiment_frame_00574,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0003,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,Do young people know what AI is?,"Some young people explained the meaning of AI, for example: 'A tool that can help humans access information more readily.' 'It refers to machines or computers that are programmed to do human like tasks.' 'Essentially a robot that tries to mimic human actions but has more information available.' 'AI is a smart technology that assists humans or makes work easy.'",'A tool that can help humans access information more readily.' 'It refers to machines or computers that are programmed to do human like tasks.' 'Essentially a robot that tries to mimic human actions but has more information available.' 'AI is a smart technology that,assists,humans or makes work easy.',0.580665909090909,hybrid_span_projection,document_nmf_fallback,0.007645533972092187
7,P7,enables_or_supports,5,P5,0.018000422004860996,0.018000422004860996,0.04990776704623439,14,1,policy,policy_frame_02026,policy_digital_strategy_implementation_plan_chunk_0010,policy_digital_strategy_implementation_plan,markdown/cleaned/policy/ireland/digital-strategy-implementation-plan.md,Pillar 2 Digital Technology Infrastructure,"Provide guidance and advice on the purposeful and effective use of digital technology infrastructure to support the embedding of digital technologies in teaching, learning and assessment.",Provide guidance and advice on the purposeful and effective use of digital technology infrastructure,to support,"the embedding of digital technologies in teaching, learning and assessment.",0.8034285714285713,hybrid_span_projection,hybrid_span_projection,0.05325407208193952
7,P7,enables_or_supports,5,P5,0.018000422004860996,0.018000422004860996,0.04990776704623439,14,1,policy,policy_frame_02225,policy_generative_artificial_intelligence_in_schools_information_for_students_and_parents_chunk_0003,policy_generative_artificial_intelligence_in_schools_information_for_students_and_parents,markdown/cleaned/policy/australia/generative-artificial-intelligence-in-schools-information-for-students-and-parents.md,Plagiarism and assessment integrity,"When using generative AI to support assessment tasks, students should keep drafts or notes to show their work process.",When using generative AI,to support,"assessment tasks, students should keep drafts or notes to show their work process.",0.5735494505494505,hybrid_span_projection,hybrid_span_projection,0.030732179048743945
7,P7,enables_or_supports,5,P5,0.018000422004860996,0.018000422004860996,0.04990776704623439,14,1,sentiment,sentiment_frame_00213,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0070,sentiment_original_ai4t_wp3_d3_3_nr_ireland,markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,Ask students to use AI tools,"And it's also helped me understand a bit more about how I could use AI in assessment, and things like that.'",it's also,helped,"me understand a bit more about how I could use AI in assessment, and things like that.'",0.48229131652661067,document_nmf_fallback,hybrid_span_projection,0.0018992401080751876
2,P2,enables_or_supports,1,P1,-0.02314930839156724,0.02314930839156724,0.04504647414276202,3,3,policy,policy_frame_03012,policy_policy_brief_2024_ai_in_education_pa_chunk_0001,policy_policy_brief_2024_ai_in_education_pa,markdown/cleaned/policy/usa/policy-brief_2024-ai-in-education_pa.md,The Rising Use of Artificial Intelligence in K-12 Education,are increasingly utilizing Artificial Intelligence (AI) based tools and programs to assist with a variety of tasks such as personalizing education plans and streamlining administrative responsibilities.,are increasingly utilizing Artificial Intelligence (AI) based tools and programs,assist with,a variety of tasks such as personalizing education plans and streamlining administrative responsibilities.,0.7867252747252746,hybrid_span_projection,document_nmf_fallback,0.016755493388644006
2,P2,enables_or_supports,1,P1,-0.02314930839156724,0.02314930839156724,0.04504647414276202,3,3,policy,policy_frame_00013,policy_2025_12_16_first_interim_report_en_chunk_0002,policy_2025_12_16_first_interim_report_en,markdown/cleaned/policy/ireland/2025-12-16_first-interim-report_en.md,Foreword,"Foreword The Joint Committee on Artificial Intelligence was established to examine and make recommendations on Ireland's approach to the development, deployment, regulation, and ethical considerations of artificial intelligence (AI), and on the means of ensuring that the approach supports economic growth, innovation, public trust, and societal benefit while safeguarding rights and mitigating risks.","Foreword The Joint Committee on Artificial Intelligence was established to examine and make recommendations on Ireland's approach to the development, deployment, regulation, and ethical considerations of artificial intelligence (AI), and on the means of ensuring that the approach",supports,"economic growth, innovation, public trust, and societal benefit while safeguarding rights and mitigating risks.",0.7646410256410255,hybrid_span_projection,hybrid_span_projection,0.00449136635633063
2,P2,enables_or_supports,1,P1,-0.02314930839156724,0.02314930839156724,0.04504647414276202,3,3,sentiment,sentiment_frame_00097,sentiment_original_20251119_les_francais_lia_chunk_0017,sentiment_original_20251119_les_francais_lia,markdown/cleaned/sentiment/20251119-Les-Francais-lIA.md,Former pour comprendre les usages et les impacts,"Former pour comprendre les usages et les impacts du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022 ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , 31 oct.",Former pour comprendre les usages et les impacts du parlement européen et du conseil établissant des règles,en vue de,"prévenir et de combattre les abus sexuels sur enfants, n° 2022/0155, du 11 mai 2022",0.851158088235294,hybrid_span_projection,hybrid_span_projection,0.05799445689541978
2,P2,enables_or_supports,1,P1,-0.02314930839156724,0.02314930839156724,0.04504647414276202,3,3,sentiment,sentiment_frame_00349,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0021,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn,markdown/cleaned/sentiment/artificial intelligence in classrooms-QA0126065ENN.md,Governance,"Ultimately, such governance will help ensure that AIED moves beyond narrow technological dimensions to protect human rights, democracy, and social agency.","Ultimately, such governance",will help,"ensure that AIED moves beyond narrow technological dimensions to protect human rights, democracy, and social agency.",0.5718660714285714,hybrid_span_projection,hybrid_span_projection,0.008371802988687858
0,P0,causes_or_increases,6,P6,0.013172693637792004,0.013172693637792004,0.03946186346037283,17,2,policy,policy_frame_01711,policy_asc_artificial_intelligence_policy_2025_chunk_0005,policy_asc_artificial_intelligence_policy_2025,markdown/cleaned/policy/australia/ASC-Artificial-Intelligence-Policy-2025.md,Privacy,"As many of these tools/platforms are produced by companies who utilise user data for future AI training, inclusion of personal data may be reused by the platform/company and could lead to an accidental privacy breach.",As many of these tools/platforms are,produced,"by companies who utilise user data for future AI training, inclusion of personal data may be reused by the platform/company and could lead to an accidental privacy breach.",0.7642857142857142,hybrid_span_projection,hybrid_span_projection,0.11374326243684203
0,P0,causes_or_increases,6,P6,0.013172693637792004,0.013172693637792004,0.03946186346037283,17,2,policy,policy_frame_01739,policy_brisbanesde_ai_usage_policy_chunk_0007,policy_brisbanesde_ai_usage_policy,markdown/cleaned/policy/australia/brisbanesde-ai-usage-policy.md,Labelling and attributing,"Referencing expectation for AI platforms As generative AI produces material that is not recoverable, the material itself cannot be cited - but since it is not information communicated by a person, it cannot be treated as personal communication.",Referencing expectation for AI platforms As generative AI,produces,"material that is not recoverable, the material itself cannot be cited - but since it is not information communicated by a person, it cannot be treated as personal communication.",0.7749014778325123,document_nmf_fallback,hybrid_span_projection,0.025562811385921556
0,P0,causes_or_increases,6,P6,0.013172693637792004,0.013172693637792004,0.03946186346037283,17,2,sentiment,sentiment_frame_00577,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0005,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,What kinds of AI are young people using?,"They preferred to use Chat GPT than traditional search engines because it's 'sleek, calm' and in their opinion, uses a wider range of reliable sources.","it's 'sleek, calm' and in their opinion, uses a wider range of reliable sources.",because,They preferred to use Chat GPT than traditional search engines,0.8163809523809523,document_nmf_fallback,hybrid_span_projection,0.010994010360835462
0,P0,causes_or_increases,6,P6,0.013172693637792004,0.013172693637792004,0.03946186346037283,17,2,sentiment,sentiment_frame_00225,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0085,sentiment_original_ai4t_wp3_d3_3_nr_ireland,markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,6.4 Student attitude towards AI,"Less than 20% of students think that AI will increase inequalities and discrimination, which is somewhat worrying as it indicates they may not understand how AI models are trained and developed, and have not considered the possibility of bias in the data that is used for these purposes.",Less than 20% of students think that AI will,increase,"inequalities and discrimination, which is somewhat worrying as it indicates they may not understand how AI models are trained and developed, and have not considered the possibility of bias in the data that is used for these purposes.",0.7466081871345029,hybrid_span_projection,hybrid_span_projection,0.0030720432512953907
7,P7,enables_or_supports,7,P7,0.011881961736824835,0.011881961736824835,0.03916100753268012,23,3,policy,policy_frame_02799,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx_chunk_0003,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,markdown/cleaned/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,[District Name] Board of Education Policy Artificial Intelligence (AI) Use in Schools,"AI is intended to support and enhance instruction, not to replace educators or diminish human oversight.",AI is,intended to,"support and enhance instruction, not to replace educators or diminish human oversight.",0.4845,document_nmf_fallback,document_nmf_fallback,0.015087929361913891
7,P7,enables_or_supports,7,P7,0.011881961736824835,0.011881961736824835,0.03916100753268012,23,3,policy,policy_frame_02234,policy_guidance_for_ai_policy_development_chunk_0003,policy_guidance_for_ai_policy_development,markdown/cleaned/policy/usa/Guidance-for-AI-Policy-Development.md,Artificial Intelligence Definitions,"This guidance document will help the districts navigate the development of policies for students, staff, and school communities on the appropriate and responsible use of AI, particularly GenAI tools, in classroom instruction, school management, and systemwide operations.",This guidance document,will help,"the districts navigate the development of policies for students, staff, and school communities on the appropriate and responsible use of AI, particularly GenAI tools, in classroom instruction, school management, and systemwide operations.",0.6917187499999999,hybrid_span_projection,hybrid_span_projection,0.015062495960633953
7,P7,enables_or_supports,7,P7,0.011881961736824835,0.011881961736824835,0.03916100753268012,23,3,sentiment,sentiment_frame_00600,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0015,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,GenAI training for staff and learners,In terms of whether it is important for educational providers to ensure that staff have the skills to enable them to use GenAI tools 'effectively and responsibly' 56% of staff respondents think it is 'extremely important'.,In terms of whether it is important for educational providers to ensure that staff have the skills,to enable,them to use GenAI tools 'effectively and responsibly' 56% of staff respondents think it is 'extremely important'.,0.9254117647058823,hybrid_span_projection,hybrid_span_projection,0.01258033697835271
7,P7,enables_or_supports,7,P7,0.011881961736824835,0.011881961736824835,0.03916100753268012,23,3,sentiment,sentiment_frame_00229,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0088,sentiment_original_ai4t_wp3_d3_3_nr_ireland,markdown/cleaned/sentiment/AI4T_WP3_D3.3_NR_Ireland.md,7.1 On professional learning about AI,"In short, teachers need to be supported through a range of focused professional learning pathways to enable them to develop an understanding of how to effectively use existing and future AI powered tools in their classroom.","In short, teachers need to be supported through a range of focused professional learning pathways",to enable,them to develop an understanding of how to effectively use existing and future AI powered tools in their classroom.,0.8760666666666665,hybrid_span_projection,hybrid_span_projection,0.003943335132125168
